scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor,batch_size
GVAR_wadi_ws_8_seed_1_numvars_127_11_155803_,wadi,1,normal_KL,GVAR,128,0,0.0001,0.06666666666666667,0.23333333333333334,0.23333333333333334,0.27777777777777773,0.2033333333333333,14794759,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.08853136745059585,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2033333333333333,0.07810249675906654,1.0,0.4416644255320231,2.2641624323612057,56.81012725830078,245.8232421875,606.3229789733887,12.126459579467774,9966.635291032282,1396.80908203125,1,0,0,mul,none,split_diff,bipartite,mlp,512
baro_wadi_ws_8_seed_1_numvars_127_11_161846_,wadi,1,normal_KL,baro,128,0,0.0001,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.35555555555555557,0.2833333333333333,0,8,0,100,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3026946299769731,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.4,0.2833333333333333,0.035572912430182485,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM,mul,none,split_diff,bipartite,mlp,128
vlinear_wadi_ws_8_seed_1_numvars_127_11_162409_,wadi,1,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3,0.36666666666666664,0.31,69248,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12150619426058024,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.31,0.03349958540373629,1.0,0.3256741364796956,3.070553931022231,0.6370048522949219,20.4287109375,910.9198853969574,22.217558180413594,5439.841724215533,2333.5751953125,1,0,0,mul,none,split_diff,bipartite,mlp,512
baro_wadi_ws_8_seed_1_numvars_127_11_165107_,wadi,1,normal_KL,baro,128,0,0.0001,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.35555555555555557,0.2833333333333333,0,8,0,100,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3026946299769731,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.4,0.2833333333333333,0.035572912430182485,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM,mul,none,split_diff,bipartite,mlp,128
cLSTM_wadi_ws_8_seed_1_numvars_127_11_165122_,wadi,1,normal_KL,cLSTM,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.28,16727551,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1217084641817489,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.2,0.28,0.02666666666666666,1.0,0.21975262959798178,4.550571257460776,64.18314361572266,304.26513671875,2145.0899786949158,71.50299928983053,1690.2787463516827,1758.0791015625,1,0,0,mul,none,split_diff,bipartite,mlp,512
CUTS_PLUS_wadi_ws_8_seed_1_numvars_127_11_191908_,wadi,1,normal_KL,CUTS_PLUS,128,0,0.0001,0.13333333333333333,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.22333333333333333,163584,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11381153567979085,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.22333333333333333,0.03,1.0,0.2538331667582194,3.939595494045575,0.9966239929199219,20.0625,11607.457036495209,232.14914072990416,520.6136004639171,3470.17919921875,1,0,0,mul,none,split_diff,bipartite,mlp,512
baro_wadi_ws_8_seed_1_numvars_127_12_020129_,wadi,1,normal_KL,baro,128,0,0.0001,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.35555555555555557,0.2833333333333333,0,8,0,100,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3026946299769731,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.4,0.2833333333333333,0.035572912430182485,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM,mul,none,split_diff,bipartite,mlp,128
torai_wadi_ws_8_seed_1_numvars_127_12_020143_,wadi,1,normal_KL,torai,128,0,0.0001,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.2777777777777778,0.27222222222222225,0,8,0,100,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.29889123679043395,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.27222222222222225,0.005555555555555564,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM,mul,none,split_diff,bipartite,mlp,128
rcd_wadi_ws_8_seed_1_numvars_127_12_020215_,wadi,1,normal_KL,rcd,128,0,0.0001,0.0,0.0,0.0,0.0,0.0,0,8,0,100,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09757242266196052,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM,mul,none,split_diff,bipartite,mlp,128
vlinear_wadi_ws_8_seed_2_numvars_127_12_020238_,wadi,2,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.36666666666666664,0.30666666666666664,69248,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1195944913182525,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.30666666666666664,0.038873012632301994,1.0,0.24735232988993328,4.042816174179477,0.6370048522949219,20.4287109375,1101.4628341197968,22.029256682395935,5486.340358300963,2333.5751953125,1,0,0,mul,none,split_diff,bipartite,mlp,512
GVAR_wadi_ws_8_seed_2_numvars_127_12_022816_,wadi,2,normal_KL,GVAR,128,0,0.0001,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.056666666666666664,14794759,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0987765294547997,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.056666666666666664,0.015275252316519466,1.0,0.26218541463216144,3.814094698604692,56.81012725830078,245.8232421875,587.2370185852051,11.744740371704102,10290.563790680357,1396.80908203125,1,0,0,mul,none,split_diff,bipartite,mlp,512
