scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj
aiopsvlinear_(no mean)_normal_KL16_123615_8_0.0001_1_window_8,aiops,1,normal_KL,vlinear,256,0,0.0001,0.3507853403141361,0.4101221640488656,0.4513089005235604,0.5109802210587554,0.4458455912906176,160526,8,0,200,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.8534031413612565,0.7068062827225131,1.0,1.0,1.0,0.4458455912906176,0.05585882489463728,0.13337988826815642,0.05018425986404818,19.926566670686245,1.3742523193359375,20.8759765625,18.327171325683594,0.21310664332190224,21590.129375038247,562.59326171875,0,0
aiopsGVAR_(no mean)_normal_KL16_123714_8_0.0001_1_window_8,aiops,1,normal_KL,GVAR,256,0,0.0001,0.2617801047120419,0.30715532286212915,0.34136125654450256,0.3847585805700992,0.33145848915482434,2135196,8,0,200,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7543138326762734,0.6963350785340314,0.774869109947644,0.8010471204188482,0.8848167539267016,0.33145848915482434,0.04158338380930584,0.13337988826815642,0.05342196045121597,18.718893719993353,8.906776428222656,50.6396484375,29.00732398033142,0.14503661990165712,31723.022800170973,116.67822265625,0,0
aiopstorai_(no mean)_normal_KL16_123949_8_0.0001_1_window_8,aiops,1,normal_KL,torai,128,0,0.0001,0.25654450261780104,0.31937172774869077,0.3528795811518327,0.37060791157649775,0.3356372060167871,0,8,0,100,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.41858595758216627,0.25654450261780104,0.5287958115183246,0.5287958115183246,0.7068062827225131,0.3356372060167871,0.03153630774853908,0.13337988826815642,0,0,0,0,0,0,0,0,0,0
aiopsbaro_(no mean)_normal_KL16_124547_8_0.0001_1_window_8,aiops,1,normal_KL,baro,128,0,0.0001,0.28272251308900526,0.3647469458987783,0.3968586387434554,0.4423938336242004,0.38235456660849343,0,8,0,100,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3679003430222062,0.193717277486911,0.45549738219895286,0.8167539267015707,0.8167539267015707,0.38235456660849343,0.05554753902747024,0.13337988826815642,0,0,0,0,0,0,0,0,0,0
aiopsrcd_(no mean)_normal_KL16_124641_8_0.0001_1_window_8,aiops,1,normal_KL,rcd,128,0,0.0001,0.17801047120418848,0.2617801047120419,0.2931937172774868,0.341753926701571,0.27939790575916235,0,8,0,100,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2888427513991695,0.08900523560209424,0.35602094240837695,0.837696335078534,0.837696335078534,0.27939790575916235,0.05671326591808426,0.13337988826815642,0,0,0,0,0,0,0,0,0,0
aiopscLSTM_(no mean)_normal_KL16_125038_8_0.0001_1_window_8,aiops,1,normal_KL,cLSTM,256,0,0.0001,0.23036649214659685,0.30017452006980794,0.3319371727748692,0.3650668993600933,0.3157570846837863,8855070,8,0,200,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9042346781644593,0.8481675392670157,0.9424083769633508,0.9947643979057592,0.9947643979057592,0.3157570846837863,0.04560032079708044,0.13337988826815642,0.04691347651456663,21.315836605916427,34.54106140136719,161.12158203125,97.16074800491333,0.48580374002456667,9470.902796605336,847.42724609375,0,0
aiopsCUTS_PLUS_(no mean)_normal_KL16_125452_8_0.0001_1_window_8,aiops,1,normal_KL,CUTS_PLUS,256,0,0.0001,0.2617801047120419,0.3263525305410122,0.35811518324607333,0.3977748691099479,0.3426389927698829,243998,8,0,200,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7287378134760333,0.6858638743455497,0.7120418848167539,0.7172774869109948,0.9267015706806283,0.3426389927698829,0.04454450106610971,0.13337988826815642,0.05087118498317858,19.65749373305668,1.6924285888671875,20.994140625,345.0894420146942,1.725447210073471,2666.5550665001715,1418.4775390625,0,0
aiopsvlinear_(no mean)_normal_KL16_130625_12_0.0001_1_window_12,aiops,1,normal_KL,vlinear,256,0,0.0001,0.3700440528634361,0.42951541850220276,0.4700440528634367,0.5284752814488498,0.46570397175022754,163606,12,0,200,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7929515418502202,0.5859030837004405,1.0,1.0,1.0,0.46570397175022754,0.054409021338538914,0.15896358543417366,0.04938673868053285,20.248350604170945,1.3863067626953125,21.0712890625,22.033013343811035,0.25325302694035673,18155.75535483281,870.8037109375,0,0
aiopsGVAR_(no mean)_normal_KL16_130727_12_0.0001_1_window_12,aiops,1,normal_KL,GVAR,256,0,0.0001,0.2687224669603524,0.31718061674008824,0.3422907488986786,0.37723935389133634,0.3340037409971332,3355308,12,0,200,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.580830397594724,0.5374449339207048,0.5726872246696035,0.5770925110132159,0.6255506607929515,0.3340037409971332,0.0355409570288057,0.15896358543417366,0.04867934655513007,20.54259292218488,13.561134338378906,69.28125,36.95901679992676,0.1847950839996338,24881.614275026448,172.56884765625,0,0
aiopstorai_(no mean)_normal_KL16_130953_12_0.0001_1_window_12,aiops,1,normal_KL,torai,128,0,0.0001,0.2775330396475771,0.35389133627019104,0.3876651982378861,0.4073788546255505,0.36867124676596047,0,12,0,100,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4453125293866598,0.2775330396475771,0.5770925110132159,0.5770925110132159,0.762114537444934,0.36867124676596047,0.036696825673271684,0.15896358543417366,0,0,0,0,0,0,0,0,0,0
