scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj
gaiavlinear_(no mean)_normal_KL27_231730_8_0.0001_2_window_8,gaia,2,normal_KL,vlinear,256,0,0.0001,0.15714285714285714,0.31190476190476224,0.3672380952380953,0.39466666666666655,0.3314314058956917,175886,8,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.03718085830076712,0.0,0.0,0.0,0.12285714285714286,0.3314314058956917,0.06686515073209313,1.0,0.13185921805245535,7.583845974288932,1.45074462890625,21.45166015625,665.8634827136993,6.528073359938229,18344.15659831573,935.26611328125,0,0
gaiaGVAR_(no mean)_normal_KL27_233607_8_0.0001_2_window_8,gaia,2,normal_KL,GVAR,256,0,0.0001,0.2571428571428571,0.23761904761904726,0.2715238095238093,0.28438095238095307,0.2640757369614512,5049436,8,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.02804430757132266,0.0,0.0,0.0,0.0,0.2640757369614512,0.016262342491171804,1.0,0.1205682338987078,8.294058622772258,20.041114807128906,96.7724609375,942.3995697498322,4.711997848749161,25414.27306291941,270.08837890625,0,0
gaiatorai_(no mean)_normal_KL28_000644_8_0.0001_2_window_8,gaia,2,normal_KL,torai,128,0,0.0001,0.21428571428571427,0.21238095238095211,0.35561904761904745,0.6109523809523792,0.4165403628117912,0,8,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.37372330877498056,0.21428571428571427,0.3657142857142857,0.5457142857142857,0.82,0.4165403628117912,0.1823603226991941,1.0,0,0,0,0,0,0,0,0,0,0
gaiabaro_(no mean)_normal_KL28_001001_8_0.0001_2_window_8,gaia,2,normal_KL,baro,128,0,0.0001,0.14,0.1485714285714287,0.210476190476191,0.2525714285714284,0.19693571428571438,0,8,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2566263524123903,0.2057142857142857,0.2342857142857143,0.28,0.31142857142857144,0.19693571428571438,0.055585449377869446,1.0,0,0,0,0,0,0,0,0,0,0
gaiarcd_(no mean)_normal_KL28_001058_8_0.0001_2_window_8,gaia,2,normal_KL,rcd,128,0,0.0001,0.14,0.1714285714285718,0.23161904761904842,0.2713333333333337,0.217964739229025,0,8,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.25294243288713336,0.2,0.2,0.30857142857142855,0.30857142857142855,0.217964739229025,0.06593957530962818,1.0,0,0,0,0,0,0,0,0,0,0
gaiacLSTM_(no mean)_normal_KL28_001332_8_0.0001_2_window_8,gaia,2,normal_KL,cLSTM,256,0,0.0001,0.24285714285714285,0.23857142857142793,0.25476190476190425,0.2633333333333338,0.2514625850340136,15782450,8,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.04001441009748517,0.0,0.037142857142857144,0.037142857142857144,0.037142857142857144,0.2514625850340136,0.013602805867031845,1.0,0.09877459798540388,10.124060440598017,60.98431396484375,276.2607421875,621.8889985084534,25.91204160451889,4621.480693328156,1399.244140625,0,0
gaiaCUTS_PLUS_(no mean)_normal_KL28_010605_8_0.0001_2_window_8,gaia,2,normal_KL,CUTS_PLUS,256,0,0.0001,0.15142857142857144,0.22285714285714278,0.251047619047619,0.49628571428571366,0.3113484126984124,274738,8,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.041707453939462936,0.0,0.0,0.0,0.0,0.3113484126984124,0.11242672462901647,1.0,0.09353686741420202,10.690971674000776,1.82708740234375,21.654296875,1972.424803495407,93.92499064263843,1274.9748408879486,2190.71533203125,0,0
gaiavlinear_(no mean)_normal_KL28_032859_10_0.0001_2_window_10,gaia,2,normal_KL,vlinear,256,0,0.0001,0.1657142857142857,0.32380952380952455,0.320761904761905,0.29971428571428543,0.2918066893424036,177426,10,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.030241890855064336,0.0,0.0,0.0,0.037142857142857144,0.2918066893424036,0.04411931270244139,1.0,0.09991052218845912,10.008955794603104,1.4562530517578125,21.61181640625,290.2939579486847,6.176467190397546,15506.599006775492,1195.5,0,0
gaiaGVAR_(no mean)_normal_KL28_033852_10_0.0001_2_window_10,gaia,2,normal_KL,GVAR,256,0,0.0001,0.17714285714285713,0.27476190476190493,0.3155238095238094,0.3004761904761908,0.2875070294784581,6492132,10,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0667266855724976,0.037142857142857144,0.037142857142857144,0.037142857142857144,0.037142857142857144,0.2875070294784581,0.04322153711712265,1.0,0.09314083167484828,10.73642979151151,25.54456329345703,118.90625,909.0842833518982,4.545421416759491,21070.873571119915,339.44384765625,0,0
gaiatorai_(no mean)_normal_KL28_040748_10_0.0001_2_window_10,gaia,2,normal_KL,torai,128,0,0.0001,0.22285714285714286,0.21714285714285694,0.3586666666666665,0.6092380952380937,0.4177405895691608,0,10,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.37993189594937316,0.22285714285714286,0.37142857142857144,0.5514285714285714,0.8142857142857143,0.4177405895691608,0.17895563223872954,1.0,0,0,0,0,0,0,0,0,0,0
