scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta
gaiavlinear_(no mean)_normal_KL02_215444_30_0.0001_1_window_30,gaia,1,normal_KL,vlinear,16,2,0.0001,0.9047619047619048,0.8539682539682543,0.813333333333335,0.8428571428571429,0.8441111111111113,193388,30,0,60,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiaGVAR_(no mean)_normal_KL02_215833_30_0.0001_1_window_30,gaia,1,normal_KL,GVAR,256,2,0.0001,0.6857142857142857,0.790476190476189,0.8552380952380946,0.814285714285716,0.8009376417233559,20919092,30,0,60,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiarcd_(no mean)_normal_KL02_220426_30_0.0001_1_window_30,gaia,1,normal_KL,rcd,256,2,0.0001,0.6857142857142857,0.8952380952380967,0.8742857142857124,0.8428571428571429,0.8610283446712017,0,30,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiabaro_(no mean)_normal_KL02_220530_30_0.0001_1_window_30,gaia,1,normal_KL,baro,256,2,0.0001,0.6952380952380952,0.7015873015873013,0.7123809523809528,0.7400000000000004,0.7160752078609224,0,30,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiatorai_(no mean)_normal_KL02_220550_30_0.0001_1_window_30,gaia,1,normal_KL,torai,256,2,0.0001,0.7714285714285715,0.7492063492063485,0.7352380952380959,0.7419047619047622,0.7428786848072565,0,30,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiacLSTM_(no mean)_normal_KL02_220652_30_0.0001_1_window_30,gaia,1,normal_KL,cLSTM,256,2,0.0001,0.9047619047619048,0.8317460317460328,0.7733333333333345,0.7390476190476192,0.7966878306878311,15782450,30,0,60,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiavlinear_(no mean)_normal_KL02_222326_10_0.0001_1_window_10,gaia,1,normal_KL,vlinear,16,2,0.0001,0.8095238095238095,0.7587301587301577,0.7485714285714294,0.7990476190476202,0.7814361300075585,177988,10,0,60,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiaGVAR_(no mean)_normal_KL02_222913_10_0.0001_1_window_10,gaia,1,normal_KL,GVAR,256,2,0.0001,0.780952380952381,0.838095238095238,0.813333333333335,0.8009523809523819,0.8153892668178384,6492132,10,0,60,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiarcd_(no mean)_normal_KL02_223528_10_0.0001_1_window_10,gaia,1,normal_KL,rcd,256,2,0.0001,0.6857142857142857,0.8952380952380967,0.8742857142857124,0.8428571428571429,0.8610283446712017,0,10,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiabaro_(no mean)_normal_KL02_223626_10_0.0001_1_window_10,gaia,1,normal_KL,baro,256,2,0.0001,0.7047619047619048,0.7111111111111111,0.7180952380952386,0.7380952380952386,0.7213144368858657,0,10,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiatorai_(no mean)_normal_KL02_223646_10_0.0001_1_window_10,gaia,1,normal_KL,torai,256,2,0.0001,0.7523809523809524,0.7460317460317453,0.7352380952380959,0.7409523809523816,0.7422600151171582,0,10,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiacLSTM_(no mean)_normal_KL02_223749_10_0.0001_1_window_10,gaia,1,normal_KL,cLSTM,256,2,0.0001,0.8095238095238095,0.8317460317460328,0.8552380952380946,0.8333333333333339,0.828411186696901,15782450,10,0,60,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiavlinear_(no mean)_normal_KL02_230132_20_0.0001_1_window_20,gaia,1,normal_KL,vlinear,16,2,0.0001,0.6857142857142857,0.8317460317460328,0.8361904761904753,0.7923809523809539,0.8072486772486774,185688,20,0,60,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiaGVAR_(no mean)_normal_KL02_230616_20_0.0001_1_window_20,gaia,1,normal_KL,GVAR,256,2,0.0001,0.6857142857142857,0.6857142857142857,0.704761904761905,0.7657142857142869,0.7167244897959186,13705612,20,0,60,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiarcd_(no mean)_normal_KL02_231146_20_0.0001_1_window_20,gaia,1,normal_KL,rcd,256,2,0.0001,0.6857142857142857,0.8952380952380967,0.8742857142857124,0.8428571428571429,0.8610283446712017,0,20,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiabaro_(no mean)_normal_KL02_231247_20_0.0001_1_window_20,gaia,1,normal_KL,baro,256,2,0.0001,0.6857142857142857,0.7111111111111111,0.7314285714285721,0.7447619047619055,0.7269520030234321,0,20,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiatorai_(no mean)_normal_KL02_231308_20_0.0001_1_window_20,gaia,1,normal_KL,torai,256,2,0.0001,0.7238095238095238,0.717460317460317,0.7219047619047623,0.7409523809523814,0.7279429327286472,0,20,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiacLSTM_(no mean)_normal_KL02_231412_20_0.0001_1_window_20,gaia,1,normal_KL,cLSTM,256,2,0.0001,0.9047619047619048,0.790476190476189,0.8114285714285732,0.8114285714285732,0.8253847316704462,15782450,20,0,60,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiavlinear_(no mean)_normal_KL02_233314_6_0.0001_1_window_6,gaia,1,normal_KL,vlinear,16,2,0.0001,0.780952380952381,0.7873015873015858,0.7485714285714294,0.7266666666666657,0.7457702191987906,174908,6,0,60,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
