scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb
gaiavlinear_(no mean)_normal_KL06_221913_6_0.0001_1_window_6,gaia,1,normal_KL,vlinear,16,2,0.0001,0.9904761904761905,0.8634920634920641,0.8361904761904753,0.7914285714285728,0.8370362811791386,174346,6,0,200,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9936507936507938,0.9904761904761905,1.0,1.0,1.0,0.8370362811791386,0.05521159480530393,1.0,0.11764701661609468,8.500003049488253,0.881134033203125,20.79296875
gaiaGVAR_(no mean)_normal_KL06_223549_6_0.0001_1_window_6,gaia,1,normal_KL,GVAR,256,2,0.0001,0.780952380952381,0.806349206349206,0.800000000000001,0.7771428571428568,0.7903352229780802,1727700,6,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.8547619047619047,0.780952380952381,0.9523809523809523,1.0,1.0,0.7903352229780802,0.018308311326315784,1.0,0.10494623184204102,9.528688952883435,6.806709289550781,44.7763671875
gaiavlinear_(no mean)_normal_KL06_225335_10_0.0001_1_window_10,gaia,1,normal_KL,vlinear,16,2,0.0001,1.0,0.8666666666666674,0.8552380952380946,0.7923809523809539,0.8414210128495846,177426,10,0,200,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.8414210128495846,0.05787111757889876,1.0,0.11920647394089472,8.388806135611585,0.89288330078125,21.04052734375
gaiaGVAR_(no mean)_normal_KL06_230623_10_0.0001_1_window_10,gaia,1,normal_KL,GVAR,256,2,0.0001,0.6857142857142857,0.6888888888888889,0.7142857142857147,0.7409523809523807,0.7145298563869994,3109860,10,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7379598708170136,0.6857142857142857,0.6952380952380952,0.8285714285714286,0.9047619047619048,0.7145298563869994,0.019879332328484777,1.0,0.17716103281293596,5.644582130292153,12.079231262207031,67.26806640625
gaiavlinear_(no mean)_normal_KL07_000701_14_0.0001_1_window_14,gaia,1,normal_KL,vlinear,16,2,0.0001,0.6952380952380952,0.7936507936507923,0.7942857142857158,0.771428571428571,0.7896950113378686,180506,14,0,200,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.8476190476190476,0.6952380952380952,1.0,1.0,1.0,0.7896950113378686,0.03798895742049674,1.0,0.12552735691978817,7.9663909488590505,0.904632568359375,21.28857421875
gaiaGVAR_(no mean)_normal_KL07_001814_14_0.0001_1_window_14,gaia,1,normal_KL,GVAR,256,2,0.0001,0.7428571428571429,0.7968253968253964,0.7695238095238107,0.7580952380952385,0.7665241874527591,4492020,14,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.8452380952380952,0.7428571428571429,0.9333333333333333,1.0,1.0,0.7665241874527591,0.016073868354191008,1.0,0.12090226127987816,8.271143892710885,17.35175323486328,89.07275390625
gaiavlinear_(no mean)_normal_KL07_004507_6_0.0001_2_window_6,gaia,2,normal_KL,vlinear,16,2,0.0001,0.9142857142857143,0.8730158730158739,0.8533333333333326,0.7933333333333348,0.8348839758125475,174346,6,0,200,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9571428571428572,0.9142857142857143,1.0,1.0,1.0,0.8348839758125475,0.0359797804732096,1.0,0.11596293449401855,8.623445106518762,0.881134033203125,20.79296875
gaiaGVAR_(no mean)_normal_KL07_010118_6_0.0001_2_window_6,gaia,2,normal_KL,GVAR,256,2,0.0001,0.7523809523809524,0.7238095238095235,0.780952380952382,0.7990476190476187,0.7747309145880574,1727700,6,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.8138095238095236,0.7523809523809524,0.780952380952381,1.0,1.0,0.7747309145880574,0.029146278975096966,1.0,0.13289301963079544,7.524849708270674,6.806709289550781,44.7763671875
gaiacLSTM_(no mean)_normal_KL07_011641_6_0.0001_2_window_6,gaia,2,normal_KL,cLSTM,256,2,0.0001,1.0,0.8793650793650797,0.8552380952380946,0.8019047619047629,0.8607728647014362,4614450,6,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.8607728647014362,0.06410252204257837,1.0,0.1717321781885056,5.823020534348129,17.81878662109375,92.216796875
gaiavlinear_(no mean)_normal_KL07_022346_6_0.0001_3_window_6,gaia,3,normal_KL,vlinear,16,2,0.0001,0.9047619047619048,0.8603174603174609,0.8514285714285706,0.7923809523809539,0.831913076341648,174346,6,0,200,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9492063492063492,0.9047619047619048,0.9904761904761905,0.9904761904761905,1.0,0.831913076341648,0.032785838085735236,1.0,0.12016309783572242,8.322022467888784,0.881134033203125,20.79296875
gaiaGVAR_(no mean)_normal_KL07_024039_6_0.0001_3_window_6,gaia,3,normal_KL,GVAR,256,2,0.0001,0.6952380952380952,0.7333333333333326,0.7485714285714294,0.793333333333333,0.7496194255479971,1727700,6,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7720634920634919,0.6952380952380952,0.8285714285714286,0.9428571428571428,1.0,0.7496194255479971,0.034230912451710546,1.0,0.15971976688929967,6.2609658120343425,6.806709289550781,44.7763671875
gaiacLSTM_(no mean)_normal_KL07_025722_6_0.0001_3_window_6,gaia,3,normal_KL,cLSTM,256,2,0.0001,0.780952380952381,0.8222222222222216,0.8742857142857124,0.8742857142857124,0.8510967498110352,4614450,6,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.8904761904761904,0.780952380952381,1.0,1.0,1.0,0.8510967498110352,0.027938319083882793,1.0,0.10575331960405622,9.455967942604843,17.81878662109375,92.216796875
gaiavlinear_(no mean)_normal_KL07_040750_10_0.0001_2_window_10,gaia,2,normal_KL,vlinear,16,2,0.0001,0.9047619047619048,0.8603174603174609,0.8533333333333326,0.7923809523809539,0.8320865457294031,177426,10,0,200,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9495238095238095,0.9047619047619048,0.9904761904761905,1.0,1.0,0.8320865457294031,0.03288879307109674,1.0,0.19757483119056338,5.0613734248138496,0.89288330078125,21.04052734375
gaiaGVAR_(no mean)_normal_KL07_042051_10_0.0001_2_window_10,gaia,2,normal_KL,GVAR,256,2,0.0001,0.6857142857142857,0.7206349206349202,0.7447619047619055,0.7752380952380953,0.7523590325018898,3109860,10,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7769841269841269,0.6857142857142857,0.7904761904761904,0.8761904761904762,1.0,0.7523590325018898,0.030718011150716863,1.0,0.10660502797081357,9.380420595863274,12.079231262207031,67.26806640625
gaiacLSTM_(no mean)_normal_KL07_043520_10_0.0001_2_window_10,gaia,2,normal_KL,cLSTM,256,2,0.0001,0.6857142857142857,0.8952380952380967,0.8742857142857124,0.8333333333333339,0.8390045351473923,4614450,10,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.8428571428571429,0.6857142857142857,1.0,1.0,1.0,0.8390045351473923,0.05656992451601142,1.0,0.11550916035970052,8.657322041697444,17.81878662109375,92.26220703125
gaiavlinear_(no mean)_normal_KL07_052002_10_0.0001_3_window_10,gaia,3,normal_KL,vlinear,16,2,0.0001,0.819047619047619,0.860317460317461,0.8571428571428563,0.7933333333333348,0.8193295540438399,177426,10,0,200,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.8928571428571429,0.819047619047619,0.9714285714285714,1.0,1.0,0.8193295540438399,0.022236424226068658,1.0,0.13636633782159716,7.333188057805451,0.89288330078125,21.04052734375
gaiaGVAR_(no mean)_normal_KL07_053312_10_0.0001_3_window_10,gaia,3,normal_KL,GVAR,256,2,0.0001,0.9142857142857143,0.8095238095238085,0.8095238095238095,0.8000000000000008,0.8256632653061224,3109860,10,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.953968253968254,0.9142857142857143,1.0,1.0,1.0,0.8256632653061224,0.03395291306626561,1.0,0.12954503468104772,7.7193232643929255,12.079231262207031,67.26806640625
gaiatorai_(no mean)_normal_KL07_055246_6_0.0001_2_window_6,gaia,2,normal_KL,torai,256,2,0.0001,0.7333333333333333,0.7365079365079361,0.7295238095238101,0.7361904761904762,0.7329489795918368,0,6,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0
gaiabaro_(no mean)_normal_KL07_055706_6_0.0001_2_window_6,gaia,2,normal_KL,baro,256,2,0.0001,0.6952380952380952,0.7047619047619048,0.7219047619047624,0.7342857142857147,0.7188352229780803,0,6,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0
gaiarcd_(no mean)_normal_KL07_055735_6_0.0001_2_window_6,gaia,2,normal_KL,rcd,256,2,0.0001,0.6857142857142857,0.8952380952380967,0.8742857142857124,0.8428571428571429,0.8610283446712017,0,6,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0
gaiavlinear_(no mean)_normal_KL07_060719_4_0.0001_2_window_4,gaia,2,normal_KL,vlinear,16,2,0.0001,0.9047619047619048,0.8920634920634934,0.8533333333333326,0.7923809523809539,0.8361511715797432,172806,4,0,200,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9523809523809523,0.9047619047619048,1.0,1.0,1.0,0.8361511715797432,0.03682014109697451,1.0,0.12356002898443313,8.093232157836304,0.8752593994140625,20.67138671875
gaiaGVAR_(no mean)_normal_KL07_062930_4_0.0001_2_window_4,gaia,2,normal_KL,GVAR,256,2,0.0001,0.819047619047619,0.7777777777777765,0.7752380952380965,0.7809523809523802,0.7741791383219956,1036620,4,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.8869841269841269,0.819047619047619,0.9619047619047619,1.0,1.0,0.7741791383219956,0.018629345647907882,1.0,0.10356017975580124,9.656221168773916,4.170448303222656,33.40869140625
gaiavlinear_(no mean)_normal_KL07_064805_4_0.0001_3_window_4,gaia,3,normal_KL,vlinear,16,2,0.0001,0.9904761904761905,0.8920634920634934,0.8552380952380946,0.7923809523809539,0.8446749811035529,172806,4,0,200,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9936507936507938,0.9904761904761905,1.0,1.0,1.0,0.8446749811035529,0.05656289503199032,1.0,0.12386071114313035,8.073585164906932,0.8752593994140625,20.67138671875
gaiaGVAR_(no mean)_normal_KL07_070958_4_0.0001_3_window_4,gaia,3,normal_KL,GVAR,256,2,0.0001,0.7714285714285715,0.717460317460317,0.7599999999999998,0.7552380952380944,0.7503163265306122,1036620,4,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.8153628117913831,0.7714285714285715,0.780952380952381,0.8761904761904762,1.0,0.7503163265306122,0.014412214324320412,1.0,0.10638112340654646,9.400163938656641,4.170448303222656,33.40869140625
gaiavlinear_(no mean)_normal_KL07_073013_18_0.0001_2_window_18,gaia,2,normal_KL,vlinear,16,2,0.0001,0.9047619047619048,0.8603174603174609,0.8533333333333326,0.7923809523809539,0.8278178382464099,183586,18,0,200,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9352380952380953,0.9047619047619048,0.9904761904761905,1.0,1.0,0.8278178382464099,0.03459221012796681,1.0,0.11498013450985863,8.697154549895382,0.9163818359375,21.5341796875
gaiaGVAR_(no mean)_normal_KL07_074113_18_0.0001_2_window_18,gaia,2,normal_KL,GVAR,256,2,0.0001,0.8095238095238095,0.806349206349206,0.7866666666666681,0.7590476190476195,0.7827876039304613,5874180,18,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.884920634920635,0.8095238095238095,0.9523809523809523,1.0,1.0,0.7827876039304613,0.018377565534608568,1.0,0.1231081417628697,8.122939601559375,22.62427520751953,112.7041015625
gaiavlinear_(no mean)_normal_KL07_075337_18_0.0001_3_window_18,gaia,3,normal_KL,vlinear,16,2,0.0001,0.9142857142857143,0.8666666666666674,0.8552380952380946,0.7933333333333348,0.8411458805744523,183586,18,0,200,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9571428571428572,0.9142857142857143,1.0,1.0,1.0,0.8411458805744523,0.04160337443311567,1.0,0.18311210132780528,5.461135516160185,0.9163818359375,21.5341796875
gaiaGVAR_(no mean)_normal_KL07_080451_18_0.0001_3_window_18,gaia,3,normal_KL,GVAR,256,2,0.0001,0.8095238095238095,0.7301587301587296,0.7657142857142869,0.7780952380952386,0.7692241118669694,5874180,18,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.8555555555555556,0.8095238095238095,0.819047619047619,1.0,1.0,0.7692241118669694,0.020993470977616224,1.0,0.11323105494181315,8.831499454932016,22.62427520751953,112.7041015625
gaiavlinear_(no mean)_normal_KL07_081827_10_0.0001_2_window_10,gaia,2,normal_KL,vlinear,16,2,0.0001,0.9047619047619048,0.8603174603174609,0.8533333333333326,0.7923809523809539,0.8320865457294031,177426,10,0,200,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9495238095238095,0.9047619047619048,0.9904761904761905,1.0,1.0,0.8320865457294031,0.03288879307109674,1.0,0.11940985407148089,8.374518231982613,0.89288330078125,21.04052734375
gaiaGVAR_(no mean)_normal_KL07_083135_10_0.0001_2_window_10,gaia,2,normal_KL,GVAR,256,2,0.0001,0.6857142857142857,0.7206349206349202,0.7447619047619055,0.7752380952380953,0.7523590325018898,3109860,10,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7769841269841269,0.6857142857142857,0.7904761904761904,0.8761904761904762,1.0,0.7523590325018898,0.030718011150716863,1.0,0.11044449125017439,9.05432211856398,12.079231262207031,67.26806640625
