scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer
gaiavlinear_(no mean)_normal_KL12_203323_8_0.0001_1_window_8,gaia,1,normal_KL,vlinear,256,0,0.0001,0.9142857142857143,0.8380952380952392,0.8380952380952371,0.7923809523809539,0.8239924414210131,175886,8,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9357142857142857,0.9142857142857143,0.9142857142857143,1.0,1.0,0.8239924414210131,0.033944934256470494,1.0,0.14537197067624047,6.878905165474513,1.4499969482421875,21.44775390625,58.28840398788452,2.5342784342558486,17687.08575747395,935.26513671875,0
gaiaGVAR_(no mean)_normal_KL12_203717_8_0.0001_1_window_8,gaia,1,normal_KL,GVAR,256,0,0.0001,0.6857142857142857,0.717460317460317,0.7238095238095243,0.7704761904761914,0.7362785336356767,5049436,8,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7607142857142857,0.6857142857142857,0.780952380952381,0.780952380952381,1.0,0.7362785336356767,0.025621824726143945,1.0,0.09158269791376022,10.919093046829218,20.041114807128906,96.5439453125,34.13063335418701,1.6252682549612862,27579.447185515663,270.08837890625,0
gaiatorai_(no mean)_normal_KL12_204119_8_0.0001_1_window_8,gaia,1,normal_KL,torai,128,0,0.0001,0.7142857142857143,0.7238095238095235,0.7200000000000005,0.7400000000000003,0.7262966742252458,0,8,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7725589225589226,0.7142857142857143,0.7904761904761904,0.8095238095238095,0.9809523809523809,0.7262966742252458,0.00918427913887952,1.0,0,0,0,0,0,0,0,0,0
gaiabaro_(no mean)_normal_KL12_204219_8_0.0001_1_window_8,gaia,1,normal_KL,baro,128,0,0.0001,0.7142857142857143,0.7142857142857143,0.7161904761904766,0.7333333333333337,0.7234123204837493,0,8,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7622201607915893,0.7142857142857143,0.7428571428571429,0.780952380952381,0.9333333333333333,0.7234123204837493,0.009526202840591493,1.0,0,0,0,0,0,0,0,0,0
gaiarcd_(no mean)_normal_KL12_204238_8_0.0001_1_window_8,gaia,1,normal_KL,rcd,128,0,0.0001,0.6857142857142857,0.8952380952380967,0.8742857142857124,0.8428571428571429,0.8610283446712017,0,8,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7642857142857142,0.6857142857142857,0.6857142857142857,1.0,1.0,0.8610283446712017,0.06358029948576921,1.0,0,0,0,0,0,0,0,0,0
gaiavlinear_(no mean)_normal_KL12_204507_10_0.0001_1_window_10,gaia,1,normal_KL,vlinear,256,0,0.0001,0.9142857142857143,0.8380952380952392,0.8380952380952371,0.7923809523809539,0.8239924414210131,177426,10,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9357142857142857,0.9142857142857143,0.9142857142857143,1.0,1.0,0.8239924414210131,0.033944934256470494,1.0,0.08498771304175967,11.766406745274328,1.45587158203125,21.609375,58.17073941230774,2.4237808088461557,14790.528858534022,1195.49951171875,0
gaiaGVAR_(no mean)_normal_KL12_204842_10_0.0001_1_window_10,gaia,1,normal_KL,GVAR,256,0,0.0001,1.0,0.790476190476189,0.7485714285714294,0.7799999999999991,0.7953968253968257,6492132,10,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.7953968253968257,0.0732465644850917,1.0,0.08154997144426618,12.262419989729016,25.54456329345703,118.60107421875,37.40130400657654,1.6261436524598494,22045.407824684873,339.44384765625,0
gaiatorai_(no mean)_normal_KL12_205229_10_0.0001_1_window_10,gaia,1,normal_KL,torai,128,0,0.0001,0.7523809523809524,0.7460317460317453,0.7352380952380959,0.7409523809523816,0.7422600151171582,0,10,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.8189576032433175,0.7523809523809524,0.8571428571428571,0.8857142857142857,0.9714285714285714,0.7422600151171582,0.007355980178012445,1.0,0,0,0,0,0,0,0,0,0
gaiabaro_(no mean)_normal_KL12_205323_10_0.0001_1_window_10,gaia,1,normal_KL,baro,128,0,0.0001,0.7047619047619048,0.7111111111111111,0.7180952380952386,0.7380952380952386,0.7213144368858657,0,10,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7549749192606335,0.7047619047619048,0.7333333333333333,0.7904761904761904,0.9523809523809523,0.7213144368858657,0.011550834558215674,1.0,0,0,0,0,0,0,0,0,0
gaiarcd_(no mean)_normal_KL12_205348_10_0.0001_1_window_10,gaia,1,normal_KL,rcd,128,0,0.0001,0.6857142857142857,0.8952380952380967,0.8742857142857124,0.8428571428571429,0.8610283446712017,0,10,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7642857142857142,0.6857142857142857,0.6857142857142857,1.0,1.0,0.8610283446712017,0.06358029948576921,1.0,0,0,0,0,0,0,0,0,0
gaiavlinear_(no mean)_normal_KL12_205609_12_0.0001_1_window_12,gaia,1,normal_KL,vlinear,256,0,0.0001,0.9142857142857143,0.8380952380952392,0.8380952380952371,0.7923809523809539,0.8285162509448225,178966,12,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9314285714285714,0.9142857142857143,0.9142857142857143,1.0,1.0,0.8285162509448225,0.036238726745931045,1.0,0.09648500170026507,10.364305149794621,1.4617462158203125,22.201171875,59.17437171936035,2.366974868774414,12618.215932079038,1456.34326171875,0
gaiaGVAR_(no mean)_normal_KL12_205938_12_0.0001_1_window_12,gaia,1,normal_KL,GVAR,256,0,0.0001,0.6857142857142857,0.7333333333333326,0.7733333333333345,0.7714285714285711,0.746190098261527,7934828,12,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7699999999999998,0.6857142857142857,0.8285714285714286,1.0,1.0,0.746190098261527,0.03366353922744223,1.0,0.12824751763116746,7.797421879743068,31.048011779785156,140.98876953125,79.80624389648438,1.5347354595477765,19460.68282595137,408.58056640625,0
gaiatorai_(no mean)_normal_KL12_210521_12_0.0001_1_window_12,gaia,1,normal_KL,torai,128,0,0.0001,0.7428571428571429,0.7460317460317455,0.7352380952380959,0.7409523809523816,0.7420200302343163,0,12,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.8122304679447537,0.7428571428571429,0.8476190476190476,0.8761904761904762,0.9714285714285714,0.7420200302343163,0.004388546777120836,1.0,0,0,0,0,0,0,0,0,0
gaiabaro_(no mean)_normal_KL12_210614_12_0.0001_1_window_12,gaia,1,normal_KL,baro,128,0,0.0001,0.6952380952380952,0.7047619047619046,0.7314285714285721,0.7419047619047625,0.7237656840513986,0,12,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7531450560021988,0.6952380952380952,0.7333333333333333,0.8285714285714286,0.9714285714285714,0.7237656840513986,0.017001849215617978,1.0,0,0,0,0,0,0,0,0,0
gaiarcd_(no mean)_normal_KL12_210639_12_0.0001_1_window_12,gaia,1,normal_KL,rcd,128,0,0.0001,0.6857142857142857,0.8952380952380967,0.8742857142857124,0.8428571428571429,0.8610283446712017,0,12,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7642857142857142,0.6857142857142857,0.6857142857142857,1.0,1.0,0.8610283446712017,0.06358029948576921,1.0,0,0,0,0,0,0,0,0,0
gaiavlinear_(no mean)_normal_KL12_210900_14_0.0001_1_window_14,gaia,1,normal_KL,vlinear,256,0,0.0001,0.9142857142857143,0.8380952380952392,0.8552380952380946,0.7923809523809539,0.8318972033257751,180506,14,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9357142857142857,0.9142857142857143,0.9142857142857143,1.0,1.0,0.8318972033257751,0.03540740292169904,1.0,0.0841881343296596,11.87815845976882,1.467620849609375,21.93359375,62.27929949760437,2.306640722133495,11096.656602995086,1716.32763671875,0
gaiaGVAR_(no mean)_normal_KL12_211229_14_0.0001_1_window_14,gaia,1,normal_KL,GVAR,256,0,0.0001,0.8761904761904762,0.780952380952381,0.7638095238095236,0.7761904761904762,0.7778926681783824,9377524,14,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.8931972789115645,0.8761904761904762,0.8761904761904762,0.8761904761904762,1.0,0.7778926681783824,0.034760835105444,1.0,0.09183751060849145,10.888796891098858,36.55146026611328,163.80126953125,83.94799280166626,1.4727718035380046,17379.474497346662,477.89306640625,0
gaiatorai_(no mean)_normal_KL12_211816_14_0.0001_1_window_14,gaia,1,normal_KL,torai,128,0,0.0001,0.7333333333333333,0.7238095238095235,0.7257142857142863,0.7371428571428577,0.7310495086923661,0,14,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7840943448086304,0.7333333333333333,0.7904761904761904,0.8380952380952381,0.9619047619047619,0.7310495086923661,0.008551961796298815,1.0,0,0,0,0,0,0,0,0,0
gaiabaro_(no mean)_normal_KL12_211914_14_0.0001_1_window_14,gaia,1,normal_KL,baro,128,0,0.0001,0.6952380952380952,0.711111111111111,0.727619047619048,0.7438095238095245,0.7270634920634923,0,14,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.75512506012506,0.6952380952380952,0.7428571428571429,0.8095238095238095,0.9714285714285714,0.7270634920634923,0.0180195087583758,1.0,0,0,0,0,0,0,0,0,0
