scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
nonlinearvlinear_(no mean)_normal_KL19_173135_1_0.0001_1_window_1,nonlinear,1,normal_KL,vlinear,64,2,0.0001,0.39,0.4016666666666666,0.4563333333333335,0.5726190476190475,0.46715039682539683,172479,1,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearvlinear_(no mean)_normal_KL19_173257_3_0.0001_1_window_3,nonlinear,1,normal_KL,vlinear,64,2,0.0001,0.35,0.3733333333333336,0.3870000000000001,0.5672579365079365,0.42496825396825405,174299,3,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearvlinear_(no mean)_normal_KL19_173420_5_0.0001_1_window_5,nonlinear,1,normal_KL,vlinear,64,2,0.0001,0.41,0.4116666666666666,0.4391666666666664,0.5903214285714283,0.4632007936507936,176119,5,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearvlinear_(no mean)_normal_KL19_173547_7_0.0001_1_window_7,nonlinear,1,normal_KL,vlinear,64,2,0.0001,0.4,0.3800000000000001,0.38500000000000006,0.5473095238095239,0.4329083333333334,177939,7,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearvlinear_(no mean)_normal_KL19_173721_10_0.0001_1_window_10,nonlinear,1,normal_KL,vlinear,64,2,0.0001,0.32,0.3750000000000002,0.3723333333333333,0.5693888888888887,0.42109682539682536,180669,10,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL19_173843_1_0.0001_1_window_1,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.36,0.3883333333333335,0.42633333333333356,0.6179960317460317,0.46727857142857143,117900,1,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL19_174007_3_0.0001_1_window_3,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.2,0.2483333333333332,0.3079999999999999,0.5028015873015872,0.3383242063492063,353700,3,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL19_174154_5_0.0001_1_window_5,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.26,0.2999999999999999,0.2964999999999998,0.5207857142857144,0.347209126984127,589500,5,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL19_174423_7_0.0001_1_window_7,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.33,0.34166666666666656,0.39133333333333326,0.5312817460317459,0.41175357142857133,825300,7,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL19_174710_10_0.0001_1_window_10,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.32,0.3600000000000002,0.41566666666666685,0.5986547619047617,0.44131507936507947,1179000,10,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
deep_mlp_(no mean)_normal_KL19_175041_1_0.0001_1_window_1,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.23,0.29500000000000004,0.3195,0.4821309523809525,0.3464107142857143,106024,1,0,100,0,0,64,2,20,0,mag_phase,attention,FEDformer
deep_mlp_(no mean)_normal_KL19_175149_3_0.0001_1_window_3,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.29,0.2883333333333334,0.3143333333333332,0.4970198412698414,0.3537694444444444,110120,3,0,100,0,0,64,2,20,0,mag_phase,attention,FEDformer
deep_mlp_(no mean)_normal_KL19_175306_5_0.0001_1_window_5,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.29,0.26999999999999996,0.3258333333333332,0.5208055555555554,0.36709682539682537,122408,5,0,100,0,0,64,2,20,0,mag_phase,attention,FEDformer
deep_mlp_(no mean)_normal_KL19_175423_7_0.0001_1_window_7,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.24,0.2666666666666666,0.3621666666666665,0.5387738095238095,0.3704416666666666,126504,7,0,100,0,0,64,2,20,0,mag_phase,attention,FEDformer
deep_mlp_(no mean)_normal_KL19_175552_10_0.0001_1_window_10,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.29,0.28,0.32199999999999995,0.5226230158730162,0.35836626984126985,142888,10,0,100,0,0,64,2,20,0,mag_phase,attention,FEDformer
deep_mlp_(no mean)_normal_KL19_175729_1_0.0001_1_window_1,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.33,0.29833333333333323,0.3469999999999998,0.4767698412698413,0.36406587301587295,50753,1,0,100,0,0,64,2,20,0,mag_phase,attention,iTransformer
deep_mlp_(no mean)_normal_KL19_175843_3_0.0001_1_window_3,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.23,0.30999999999999994,0.3338333333333333,0.50490873015873,0.3663960317460317,51011,3,0,100,0,0,64,2,20,0,mag_phase,attention,iTransformer
deep_mlp_(no mean)_normal_KL19_175950_5_0.0001_1_window_5,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.26,0.26166666666666666,0.30016666666666647,0.4802619047619048,0.3321186507936507,51269,5,0,100,0,0,64,2,20,0,mag_phase,attention,iTransformer
deep_mlp_(no mean)_normal_KL19_180059_7_0.0001_1_window_7,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.2,0.2999999999999999,0.33249999999999974,0.5337063492063492,0.3641214285714285,51527,7,0,100,0,0,64,2,20,0,mag_phase,attention,iTransformer
deep_mlp_(no mean)_normal_KL19_180208_10_0.0001_1_window_10,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.31,0.2933333333333333,0.34633333333333316,0.534063492063492,0.3809261904761905,51914,10,0,100,0,0,64,2,20,0,mag_phase,attention,iTransformer
nonlinearGVAR_(no mean)_normal_KL19_180317_1_0.0001_1_window_1,nonlinear,1,normal_KL,GVAR,64,2,0.0001,0.43,0.4549999999999999,0.48450000000000004,0.618765873015873,0.5135992063492063,39300,1,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearGVAR_(no mean)_normal_KL19_180430_3_0.0001_1_window_3,nonlinear,1,normal_KL,GVAR,64,2,0.0001,0.43,0.37500000000000006,0.4106666666666667,0.5967261904761906,0.4448948412698413,117900,3,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearGVAR_(no mean)_normal_KL19_180558_5_0.0001_1_window_5,nonlinear,1,normal_KL,GVAR,64,2,0.0001,0.39,0.3616666666666666,0.40800000000000025,0.563,0.4300357142857143,196500,5,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearGVAR_(no mean)_normal_KL19_180737_7_0.0001_1_window_7,nonlinear,1,normal_KL,GVAR,64,2,0.0001,0.39,0.36833333333333323,0.36833333333333323,0.5143174603174602,0.4111809523809523,275100,7,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearGVAR_(no mean)_normal_KL19_180932_10_0.0001_1_window_10,nonlinear,1,normal_KL,GVAR,64,2,0.0001,0.33,0.2999999999999999,0.33383333333333326,0.5135317460317459,0.38250753968253964,393000,10,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
