scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb
smdvlinear_(no mean)_normal_KL08_055433_4_0.0001_1_window_4,smd,1,normal_KL,vlinear,16,2,0.0001,0.42153846153846153,0.4507692307692303,0.4582564102564101,0.501741147741148,0.46651477411477416,163590,4,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5614539815549342,0.42153846153846153,0.6615384615384615,0.7107692307692308,0.76,0.46651477411477416,0.024691330372069425,1.0,0.08574362608102652,11.662674483290619,0.828216552734375,20.38134765625
smdGVAR_(no mean)_normal_KL08_062755_4_0.0001_1_window_4,smd,1,normal_KL,GVAR,256,2,0.0001,0.2153846153846154,0.21230769230769223,0.24015384615384613,0.2850427350427351,0.24496031746031743,623340,4,0,200,0,0,256,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3348537859910381,0.2153846153846154,0.3569230769230769,0.4430769230769231,0.5538461538461539,0.24496031746031743,0.025273311488302815,1.0,0.0879807971074031,11.366116617234598,2.5819625854492188,26.9921875
smdrcd_(no mean)_normal_KL08_065156_4_0.0001_1_window_4,smd,1,normal_KL,rcd,256,2,0.0001,0.003076923076923077,0.14820512820512832,0.2273333333333336,0.6202869352869352,0.30643833943833954,0,4,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4103020798189384,0.3630769230769231,0.40307692307692305,0.4153846153846154,0.4584615384615385,0.30643833943833954,0.1901942618272424,1.0,0,0,0,0
smdtorai_(no mean)_normal_KL08_065403_4_0.0001_1_window_4,smd,1,normal_KL,torai,256,2,0.0001,0.48923076923076925,0.4323076923076923,0.4744615384615387,0.5915152625152624,0.5043857142857142,0,4,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.6083254290544735,0.48923076923076925,0.6615384615384615,0.7384615384615385,0.8553846153846154,0.5043857142857142,0.051238807211664066,1.0,0,0,0,0
smdvlinear_(no mean)_normal_KL08_065544_6_0.0001_1_window_6,smd,1,normal_KL,vlinear,16,2,0.0001,0.4307692307692308,0.43641025641025677,0.4304615384615385,0.48644078144078157,0.4471197802197803,165130,6,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5657304363129303,0.4307692307692308,0.64,0.7046153846153846,0.7938461538461539,0.4471197802197803,0.019356267000486423,1.0,0.10237875058100773,9.767651923127785,0.83416748046875,20.4814453125
smdGVAR_(no mean)_normal_KL08_072135_6_0.0001_1_window_6,smd,1,normal_KL,GVAR,256,2,0.0001,0.23692307692307693,0.23948717948717949,0.24964102564102544,0.29223443223443224,0.25757240537240533,1038900,6,0,200,0,0,256,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3588129305418497,0.23692307692307693,0.39076923076923076,0.4646153846153846,0.563076923076923,0.25757240537240533,0.01931043725966246,1.0,0.09164320285503681,10.911884011537893,4.167198181152344,33.34814453125
smdrcd_(no mean)_normal_KL08_074055_6_0.0001_1_window_6,smd,1,normal_KL,rcd,256,2,0.0001,0.003076923076923077,0.14820512820512832,0.2273333333333336,0.6202869352869352,0.30643833943833954,0,6,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4103020798189384,0.3630769230769231,0.40307692307692305,0.4153846153846154,0.4584615384615385,0.30643833943833954,0.1901942618272424,1.0,0,0,0,0
smdtorai_(no mean)_normal_KL08_074304_6_0.0001_1_window_6,smd,1,normal_KL,torai,256,2,0.0001,0.31076923076923074,0.2846153846153846,0.31461538461538463,0.39371794871794885,0.3289575091575091,0,6,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4232168312470727,0.31076923076923074,0.4430769230769231,0.5446153846153846,0.6307692307692307,0.3289575091575091,0.03782561819571127,1.0,0,0,0,0
smdvlinear_(no mean)_normal_KL08_074609_10_0.0001_1_window_10,smd,1,normal_KL,vlinear,16,2,0.0001,0.4307692307692308,0.4425641025641022,0.4201538461538461,0.449873015873016,0.4318089133089133,168210,10,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5652761383344527,0.4307692307692308,0.6553846153846153,0.7107692307692308,0.7846153846153846,0.4318089133089133,0.010509008585532675,1.0,0.08291461577782264,12.06059981848788,0.846160888671875,20.68017578125
smdGVAR_(no mean)_normal_KL08_080518_10_0.0001_1_window_10,smd,1,normal_KL,GVAR,256,2,0.0001,0.20307692307692307,0.21076923076923074,0.22271794871794864,0.27502075702075696,0.23046495726495722,1870020,10,0,200,0,0,256,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.31517307456395705,0.20307692307692307,0.3261538461538461,0.4,0.5230769230769231,0.23046495726495722,0.023560991439440758,1.0,0.0777152391580435,12.867489193031716,7.337669372558594,46.06005859375
