scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
smdvlinear_(no mean)_normal_KL20_055135_1_0.0001_1_window_1,smd,1,normal_KL,vlinear,16,2,0.0001,0.4568205128205127,0.42169230769230753,0.42082307692307697,0.46687399267399254,0.43829100732600734,223669,1,0,1000,0,0,16,2,38,0,mag_phase,attention,aerca_based
smddeep_mlp_(no mean)_normal_KL20_055548_1_0.0001_1_window_1,smd,1,normal_KL,deep_mlp,256,2,0.0001,0.3543076923076924,0.3356837606837608,0.333874358974359,0.4021474969474967,0.3539233943833944,25474332,1,1,1000,0,0,128,2,38,0,normal,gated,aerca_based
deep_mlp_(no mean)_normal_KL20_055803_1_0.0001_1_window_1,smd,1,normal_KL,deep_mlp,256,2,0.0001,0.4401025641025644,0.41085470085470077,0.411948717948718,0.4619235653235654,0.4286314529914531,1556044,1,0,1000,0,0,128,2,38,0,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_060142_1_0.0001_1_window_1,smd,1,normal_KL,deep_mlp,256,2,0.0001,0.0486153846153846,0.14429914529914553,0.18206923076923073,0.2846663003663005,0.18641656288156291,792833,1,0,1000,0,0,128,2,38,0,normal,gated,iTransformer
smdGVAR_(no mean)_normal_KL20_060508_1_0.0001_1_window_1,smd,1,normal_KL,GVAR,256,2,0.0001,0.38082051282051294,0.36835042735042767,0.38291025641025644,0.44449816849816837,0.3967195421245422,8491444,1,0,1000,0,0,256,2,38,0,mag_phase,attention,aerca_based
smdcausalrca_(no mean)_normal_KL20_060949_1_0.0001_1_window_1,smd,1,normal_KL,causalrca,256,2,0.0001,0.45697435897435884,0.4232820512820514,0.41869487179487175,0.46337973137973126,0.4364934432234432,4428,1,0,1000,0,0,256,2,38,0,mag_phase,attention,aerca_based
smdrcd_(no mean)_normal_KL20_061423_1_0.0001_1_window_1,smd,1,normal_KL,rcd,256,2,0.0001,0.003076923076923077,0.14820512820512832,0.2273333333333336,0.6202869352869352,0.30643833943833954,0,1,0,100,0,0,128,2,38,0,normal,gated,aerca_based
smdepsilon_diagnosis_(no mean)_normal_KL20_061732_1_0.0001_1_window_1,smd,1,normal_KL,epsilon_diagnosis,256,2,0.0001,0.23384615384615384,0.25076923076923063,0.2537948717948719,0.5526178266178268,0.3310046398046399,0,1,0,100,0,0,128,2,38,0,normal,gated,aerca_based
smdvlinear_(no mean)_normal_KL20_062808_5_0.0001_1_window_5,smd,1,normal_KL,vlinear,16,2,0.0001,0.45312820512820523,0.4272051282051281,0.4288153846153845,0.45561916971916994,0.43714669719169724,227565,5,0,1000,0,0,16,2,38,0,mag_phase,attention,aerca_based
smddeep_mlp_(no mean)_normal_KL20_063243_5_0.0001_1_window_5,smd,1,normal_KL,deep_mlp,256,2,0.0001,0.37005128205128224,0.3427435897435897,0.3435820512820515,0.38349108669108684,0.35680388888888903,127371660,5,1,1000,0,0,128,2,38,0,normal,gated,aerca_based
deep_mlp_(no mean)_normal_KL20_063546_5_0.0001_1_window_5,smd,1,normal_KL,deep_mlp,256,2,0.0001,0.27276923076923076,0.22523076923076932,0.2349589743589743,0.3096868131868132,0.2599076068376069,1818188,5,0,1000,0,0,128,2,38,0,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_064021_5_0.0001_1_window_5,smd,1,normal_KL,deep_mlp,256,2,0.0001,0.32815384615384624,0.3241196581196584,0.3372717948717949,0.43578852258852274,0.36306924297924303,794885,5,0,1000,0,0,128,2,38,0,normal,gated,iTransformer
smdGVAR_(no mean)_normal_KL20_064409_5_0.0001_1_window_5,smd,1,normal_KL,GVAR,256,2,0.0001,0.409897435897436,0.3863076923076923,0.39225641025641034,0.437889133089133,0.40479634920634916,42457220,5,0,1000,0,0,256,2,38,0,mag_phase,attention,aerca_based
smdcausalrca_(no mean)_normal_KL20_065450_5_0.0001_1_window_5,smd,1,normal_KL,causalrca,256,2,0.0001,0.4338974358974363,0.4022222222222224,0.39725128205128185,0.4370194139194139,0.4134087057387057,4428,5,0,1000,0,0,256,2,38,0,mag_phase,attention,aerca_based
smdrcd_(no mean)_normal_KL20_065916_5_0.0001_1_window_5,smd,1,normal_KL,rcd,256,2,0.0001,0.003076923076923077,0.14820512820512832,0.2273333333333336,0.6202869352869352,0.30643833943833954,0,5,0,100,0,0,128,2,38,0,normal,gated,aerca_based
smdepsilon_diagnosis_(no mean)_normal_KL20_070234_5_0.0001_1_window_5,smd,1,normal_KL,epsilon_diagnosis,256,2,0.0001,0.28,0.24512820512820505,0.25338461538461565,0.560338217338217,0.33425970695970697,0,5,0,100,0,0,128,2,38,0,normal,gated,aerca_based
smdvlinear_(no mean)_normal_KL20_072459_7_0.0001_1_window_7,smd,1,normal_KL,vlinear,16,2,0.0001,0.4602051282051281,0.43089743589743584,0.4307666666666665,0.45600378510378486,0.4407004029304028,229513,7,0,1000,0,0,16,2,38,0,mag_phase,attention,aerca_based
smddeep_mlp_(no mean)_normal_KL20_073002_7_0.0001_1_window_7,smd,1,normal_KL,deep_mlp,256,2,0.0001,0.38241025641025655,0.3608974358974361,0.358025641025641,0.40087716727716716,0.3738171306471307,178320324,7,1,1000,0,0,128,2,38,0,normal,gated,aerca_based
deep_mlp_(no mean)_normal_KL20_073304_7_0.0001_1_window_7,smd,1,normal_KL,deep_mlp,256,2,0.0001,0.24800000000000003,0.21558974358974398,0.2247000000000001,0.30284847374847385,0.24935179487179493,1883724,7,0,1000,0,0,128,2,38,0,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_073830_7_0.0001_1_window_7,smd,1,normal_KL,deep_mlp,256,2,0.0001,0.32923076923076944,0.33068376068376054,0.34248717948717944,0.44840354090354123,0.369192783882784,795911,7,0,1000,0,0,128,2,38,0,normal,gated,iTransformer
smdGVAR_(no mean)_normal_KL20_074259_7_0.0001_1_window_7,smd,1,normal_KL,GVAR,256,2,0.0001,0.44066666666666676,0.42051282051282046,0.41942051282051257,0.4473949938949936,0.4299465811965811,59440108,7,0,1000,0,0,256,2,38,0,mag_phase,attention,aerca_based
smdcausalrca_(no mean)_normal_KL20_075717_7_0.0001_1_window_7,smd,1,normal_KL,causalrca,256,2,0.0001,0.4431282051282053,0.40642735042735056,0.40227692307692287,0.4430783882783883,0.4191391575091575,4428,7,0,1000,0,0,256,2,38,0,mag_phase,attention,aerca_based
smdrcd_(no mean)_normal_KL20_080241_7_0.0001_1_window_7,smd,1,normal_KL,rcd,256,2,0.0001,0.003076923076923077,0.14820512820512832,0.2273333333333336,0.6202869352869352,0.30643833943833954,0,7,0,100,0,0,128,2,38,0,normal,gated,aerca_based
smdepsilon_diagnosis_(no mean)_normal_KL20_080617_7_0.0001_1_window_7,smd,1,normal_KL,epsilon_diagnosis,256,2,0.0001,0.24923076923076923,0.21692307692307697,0.22589743589743613,0.5480818070818072,0.3129490842490843,0,7,0,100,0,0,128,2,38,0,normal,gated,aerca_based
smdvlinear_(no mean)_normal_KL20_082945_10_0.0001_1_window_10,smd,1,normal_KL,vlinear,16,2,0.0001,0.5164102564102566,0.4855982905982908,0.4868692307692313,0.5230598290598287,0.5005502625152626,232435,10,0,1000,0,0,16,2,38,0,mag_phase,attention,aerca_based
smddeep_mlp_(no mean)_normal_KL20_083517_10_0.0001_1_window_10,smd,1,normal_KL,deep_mlp,256,2,0.0001,0.3998974358974361,0.3847948717948719,0.3893205128205129,0.45809474969474956,0.41025349206349204,254743320,10,1,1000,0,0,128,2,38,0,normal,gated,aerca_based
deep_mlp_(no mean)_normal_KL20_083854_10_0.0001_1_window_10,smd,1,normal_KL,deep_mlp,256,2,0.0001,0.2461538461538461,0.21574358974358998,0.22302564102564107,0.29634652014652024,0.24617470085470092,2145868,10,0,1000,0,0,128,2,38,0,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_084448_10_0.0001_1_window_10,smd,1,normal_KL,deep_mlp,256,2,0.0001,0.2995384615384615,0.331880341880342,0.35586666666666655,0.45865604395604387,0.3753045421245422,797450,10,0,1000,0,0,128,2,38,0,normal,gated,iTransformer
smdGVAR_(no mean)_normal_KL20_084933_10_0.0001_1_window_10,smd,1,normal_KL,GVAR,256,2,0.0001,0.43835897435897425,0.41006837606837604,0.4101358974358974,0.45325970695970663,0.42418239316239303,84914440,10,0,1000,0,0,256,2,38,0,mag_phase,attention,aerca_based
smdcausalrca_(no mean)_normal_KL20_090824_10_0.0001_1_window_10,smd,1,normal_KL,causalrca,256,2,0.0001,0.45589743589743587,0.42128205128205115,0.41844615384615386,0.47242905982905953,0.43756722222222216,4428,10,0,1000,0,0,256,2,38,0,mag_phase,attention,aerca_based
smdrcd_(no mean)_normal_KL20_091402_10_0.0001_1_window_10,smd,1,normal_KL,rcd,256,2,0.0001,0.003076923076923077,0.14820512820512832,0.2273333333333336,0.6202869352869352,0.30643833943833954,0,10,0,100,0,0,128,2,38,0,normal,gated,aerca_based
smdepsilon_diagnosis_(no mean)_normal_KL20_091754_10_0.0001_1_window_10,smd,1,normal_KL,epsilon_diagnosis,256,2,0.0001,0.2123076923076923,0.20461538461538475,0.21943589743589773,0.5460610500610503,0.3005466422466424,0,10,0,100,0,0,128,2,38,0,normal,gated,aerca_based
smdvlinear_(no mean)_normal_KL20_094128_12_0.0001_1_window_12,smd,1,normal_KL,vlinear,16,2,0.0001,0.48912820512820504,0.4735811965811965,0.47547435897435897,0.5080532356532357,0.48707645299145297,234383,12,0,1000,0,0,16,2,38,0,mag_phase,attention,aerca_based
smddeep_mlp_(no mean)_normal_KL20_094701_12_0.0001_1_window_12,smd,1,normal_KL,deep_mlp,256,2,0.0001,0.40005128205128215,0.38489743589743597,0.38137435897435895,0.4123427350427351,0.3924891391941393,305691984,12,1,1000,0,0,128,2,38,0,normal,gated,aerca_based
deep_mlp_(no mean)_normal_KL20_095108_12_0.0001_1_window_12,smd,1,normal_KL,deep_mlp,256,2,0.0001,0.24061538461538462,0.217641025641026,0.22271025641025644,0.29403382173382187,0.2443540903540904,2342476,12,0,1000,0,0,128,2,38,0,normal,gated,FEDformer
