scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM
swatvlinear_(no mean)_normal_KL04_202220_4_0.0001_1_window_4,swat,1,normal_KL,vlinear,64,0,0.0001,0.1,0.2,0.4,0.55,0.375,27142,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2694696569727267,0.1,0.35,0.4,0.65,0.375,0.16469669092000605,1.0,0.17672698497772216,5.658445427143217,0.18109893798828125,18.0009765625,124.38683414459229,0.6219341707229614,53058.67011880153,363.21826171875,0,0,0
swatGVAR_(no mean)_normal_KL04_202622_4_0.0001_1_window_4,swat,1,normal_KL,GVAR,64,0,0.0001,0.15,0.3,0.3,0.3,0.27999999999999997,604539,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.06891322474280036,0.0,0.0,0.05,0.25,0.27999999999999997,0.045825756949558406,1.0,0.08881171941757202,11.259775247658848,2.3836326599121094,26.6220703125,114.06231999397278,0.5703115999698639,57861.35158699861,214.162109375,0,0,0
swatbaro_(no mean)_normal_KL04_203112_4_0.0001_1_window_4,swat,1,normal_KL,baro,1000,0,0.0001,0.1,0.2,0.25,0.3,0.24999999999999994,0,4,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.19552449769844654,0.1,0.2,0.25,0.35,0.24999999999999994,0.06324555320336757,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM
swattorai_(no mean)_normal_KL04_203121_4_0.0001_1_window_4,swat,1,normal_KL,torai,1000,0,0.0001,0.2,0.3,0.35,0.4,0.33499999999999996,0,4,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2773140551594268,0.2,0.3,0.35,0.4,0.33499999999999996,0.07762087348130012,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM
swatrcd_(no mean)_normal_KL04_203132_4_0.0001_1_window_4,swat,1,normal_KL,rcd,1000,0,0.0001,0.0,0.0,0.0,0.3,0.1,0,4,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1299060564758239,0.0,0.25,0.25,0.3,0.1,0.12649110640673517,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM
swatcLSTM_(no mean)_normal_KL04_203145_4_0.0001_1_window_4,swat,1,normal_KL,cLSTM,64,0,0.0001,0.1,0.2,0.4,0.5,0.36500000000000005,1530867,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.06812274461121991,0.0,0.0,0.0,0.25,0.36500000000000005,0.145,1.0,0.07874096632003784,12.69986954358118,5.917293548583984,42.46240234375,536.5408544540405,2.6827042722702026,12300.647649125724,336.23046875,0,0,0
swatCUTS_PLUS_(no mean)_normal_KL04_204912_4_0.0001_1_window_4,swat,1,normal_KL,CUTS_PLUS,64,0,0.0001,0.25,0.25,0.25,0.35,0.28500000000000003,34844,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09036296198993338,0.0,0.05,0.05,0.4,0.28500000000000003,0.04499999999999999,1.0,0.08219504356384277,12.166183709401858,0.210418701171875,17.06884765625,743.662748336792,3.71831374168396,8874.72179393214,587.58154296875,0,0,0
swatvlinear_(no mean)_normal_KL04_211306_8_0.0001_1_window_8,swat,1,normal_KL,vlinear,64,0,0.0001,0.15,0.4,0.5,0.5,0.43,27918,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.07616496377347554,0.0,0.1,0.1,0.15,0.43,0.12083045973594571,1.0,0.08295464515686035,12.054780032017291,0.18424224853515625,18.2470703125,112.5847556591034,0.562923778295517,29309.474277241407,793.69970703125,0,0,0
swatGVAR_(no mean)_normal_KL04_211618_8_0.0001_1_window_8,swat,1,normal_KL,GVAR,64,0,0.0001,0.25,0.3,0.3,0.375,0.3275,1410591,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0528378287156384,0.0,0.0,0.05,0.1,0.3275,0.041003048667141814,1.0,0.09542247056961059,10.479711896271864,5.458477020263672,39.77001953125,110.25017404556274,0.5512508702278137,29930.11148115106,440.494140625,0,0,0
swatbaro_(no mean)_normal_KL04_212019_8_0.0001_1_window_8,swat,1,normal_KL,baro,1000,0,0.0001,0.1,0.1,0.2,0.325,0.215,0,8,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.16917069450157685,0.1,0.1,0.2,0.35,0.215,0.09949874371066199,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM
