scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM
swatbaro_(no mean)_normal_KL04_160305_4_0.0001_1_window_4,swat,1,normal_KL,baro,1000,0,0.0001,0.1,0.2,0.25,0.3,0.24999999999999994,0,4,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.19552449769844654,0.1,0.2,0.25,0.35,0.24999999999999994,0.06324555320336757,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM
swatvlinear_(no mean)_normal_KL04_155336_4_0.0001_1_window_4,swat,1,normal_KL,vlinear,1000,0,0.0001,0.1,0.25,0.5,0.55,0.41,8176006,4,0,50,0,0,16,2,51,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.25318575025403733,0.05,0.35,0.4,0.75,0.41,0.16248076809271922,1.0,0.08284777402877808,12.070330334435287,42.667335510253906,88.14794921875,371.7484016418457,7.434968032836914,4438.351295426993,1987.55078125,1,0,None
swatbaro_(no mean)_normal_KL04_160557_10_0.0001_1_window_10,swat,1,normal_KL,baro,1000,0,0.0001,0.1,0.1,0.15,0.25,0.17,0,10,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1492500561665741,0.1,0.1,0.15,0.25,0.17,0.06782329983125268,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM
swatvlinear_(no mean)_normal_KL04_160632_10_0.0001_1_window_10,swat,1,normal_KL,vlinear,1000,0,0.0001,0.1,0.5,0.55,0.55,0.48,8194018,10,0,50,0,0,16,2,51,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12067246120536188,0.0,0.15,0.25,0.45,0.48,0.14,1.0,0.08961012363433837,11.159453412658863,42.736366271972656,91.31201171875,171.41830396652222,5.713943465550741,2309.9633518561263,5557.0419921875,1,0,None
swatvlinear_(no mean)_normal_KL04_162111_10_0.0001_1_window_10,swat,1,normal_KL,vlinear,64,0,0.0001,0.1,0.45,0.55,0.55,0.475,44946,10,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09969300702737235,0.0,0.0,0.05,0.65,0.475,0.14008925726121904,1.0,0.200889253616333,4.977867068538386,0.24933624267578125,18.111328125,11.055864095687866,0.5264697188422793,25070.767657872035,400.6083984375,0,0,0
swatvlinear_(no mean)_normal_KL04_162219_10_0.0001_1_window_10,swat,1,normal_KL,vlinear,64,0,0.0001,0.1,0.45,0.55,0.55,0.475,19986,10,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.15305659274694594,0.05,0.2,0.3,0.35,0.475,0.14008925726121904,1.0,0.10700058937072754,9.345742914885037,0.15412139892578125,18.01611328125,98.03341579437256,0.4901670789718628,26927.553004345416,400.51318359375,0,0,0
swatbaro_(no mean)_normal_KL04_162523_10_0.0001_1_window_10,swat,1,normal_KL,baro,1000,0,0.0001,0.1,0.1,0.15,0.25,0.17,0,10,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1492500561665741,0.1,0.1,0.15,0.25,0.17,0.06782329983125268,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM
swatcLSTM_(no mean)_normal_KL04_162613_10_0.0001_1_window_10,swat,1,normal_KL,cLSTM,64,0,0.0001,0.4,0.45,0.45,0.45,0.445,1530867,10,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0435941459211583,0.0,0.0,0.0,0.15,0.445,0.014999999999999996,1.0,0.0793473482131958,12.602815626719277,5.917293548583984,42.49755859375,217.04021668434143,2.214696088615729,5959.734190098239,439.8583984375,0,0,0
swatGVAR_(no mean)_normal_KL04_163514_10_0.0001_1_window_10,swat,1,normal_KL,GVAR,64,0,0.0001,0.25,0.4,0.425,0.425,0.4,1813617,10,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.04115703263801662,0.0,0.0,0.0,0.05,0.4,0.05123475382979799,1.0,0.09136141538619995,10.94553970921787,6.995899200439453,45.201171875,181.20452165603638,0.9060226082801819,14568.069140188929,293.326171875,0,0,0
swatvlinear_(no mean)_normal_KL04_164121_10_0.0001_1_window_10,swat,1,normal_KL,vlinear (MoM gru orth),64,0,0.0001,0.25,0.25,0.3,0.375,0.3075,84715,10,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.07779136524598673,0.0,0.05,0.1,0.3,0.3075,0.05367727638395972,1.0,0.21105306148529052,4.73814496204167,0.4010429382324219,18.8466796875,107.29895830154419,0.536494791507721,24602.28917210289,372.52880859375,0,0,0
