scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
swatvlinear_(no mean)_normal_KL19_190210_1_0.0001_1_window_1,swat,1,normal_KL,vlinear,16,2,0.0001,0.15,0.25,0.4,0.55,0.38999999999999996,251580,1,0,1000,0,0,16,2,51,0,mag_phase,attention,aerca_based
swatdeep_mlp_(no mean)_normal_KL19_190526_1_0.0001_1_window_1,swat,1,normal_KL,deep_mlp,256,2,0.0001,0.15,0.25,0.3,0.35,0.275,28987803,1,1,1000,0,0,128,2,51,0,normal,gated,aerca_based
deep_mlp_(no mean)_normal_KL19_190951_1_0.0001_1_window_1,swat,1,normal_KL,deep_mlp,256,2,0.0001,0.2,0.325,0.325,0.475,0.3425,1592678,1,0,1000,0,0,128,2,51,0,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL19_191145_1_0.0001_1_window_1,swat,1,normal_KL,deep_mlp,256,2,0.0001,0.15,0.3,0.35,0.475,0.35250000000000004,792833,1,0,1000,0,0,128,2,51,0,normal,gated,iTransformer
swatGVAR_(no mean)_normal_KL19_191316_1_0.0001_1_window_1,swat,1,normal_KL,GVAR,256,2,0.0001,0.25,0.25,0.35,0.4,0.325,9662601,1,0,1000,0,0,256,2,51,0,mag_phase,attention,aerca_based
swatcausalrca_(no mean)_normal_KL19_191956_1_0.0001_1_window_1,swat,1,normal_KL,causalrca,256,2,0.0001,0.15,0.2,0.275,0.375,0.265,6742,1,0,1000,0,0,256,2,51,0,mag_phase,attention,aerca_based
swatrcd_(no mean)_normal_KL19_192310_1_0.0001_1_window_1,swat,1,normal_KL,rcd,256,2,0.0001,0.0,0.0,0.0,0.3,0.1,0,1,0,100,0,0,128,2,51,0,normal,gated,aerca_based
swatepsilon_diagnosis_(no mean)_normal_KL19_192323_1_0.0001_1_window_1,swat,1,normal_KL,epsilon_diagnosis,256,2,0.0001,0.1,0.15,0.15,0.35,0.16999999999999998,0,1,0,100,0,0,128,2,51,0,normal,gated,aerca_based
swatvlinear_(no mean)_normal_KL19_192408_5_0.0001_1_window_5,swat,1,normal_KL,vlinear,16,2,0.0001,0.3,0.38499999999999995,0.445,0.545,0.4545,255580,5,0,1000,0,0,16,2,51,0,mag_phase,attention,aerca_based
swatdeep_mlp_(no mean)_normal_KL19_192805_5_0.0001_1_window_5,swat,1,normal_KL,deep_mlp,256,2,0.0001,0.21000000000000002,0.29,0.32999999999999996,0.35,0.313,144939015,5,1,1000,0,0,128,2,51,0,normal,gated,aerca_based
deep_mlp_(no mean)_normal_KL19_193234_5_0.0001_1_window_5,swat,1,normal_KL,deep_mlp,256,2,0.0001,0.06999999999999999,0.075,0.135,0.305,0.152,1854822,5,0,1000,0,0,128,2,51,0,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL19_193521_5_0.0001_1_window_5,swat,1,normal_KL,deep_mlp,256,2,0.0001,0.07999999999999999,0.135,0.24500000000000002,0.515,0.26550000000000007,794885,5,0,1000,0,0,128,2,51,0,normal,gated,iTransformer
swatGVAR_(no mean)_normal_KL19_193719_5_0.0001_1_window_5,swat,1,normal_KL,GVAR,256,2,0.0001,0.29,0.395,0.45999999999999996,0.55,0.46099999999999997,48313005,5,0,1000,0,0,256,2,51,0,mag_phase,attention,aerca_based
swatcausalrca_(no mean)_normal_KL19_195134_5_0.0001_1_window_5,swat,1,normal_KL,causalrca,256,2,0.0001,0.12,0.16,0.16,0.35500000000000004,0.20700000000000002,6742,5,0,1000,0,0,256,2,51,0,mag_phase,attention,aerca_based
swatrcd_(no mean)_normal_KL19_195548_5_0.0001_1_window_5,swat,1,normal_KL,rcd,256,2,0.0001,0.0,0.0,0.0,0.3,0.1,0,5,0,100,0,0,128,2,51,0,normal,gated,aerca_based
swatepsilon_diagnosis_(no mean)_normal_KL19_195608_5_0.0001_1_window_5,swat,1,normal_KL,epsilon_diagnosis,256,2,0.0001,0.0,0.1,0.1,0.3,0.14,0,5,0,100,0,0,128,2,51,0,normal,gated,aerca_based
swatvlinear_(no mean)_normal_KL19_195750_7_0.0001_1_window_7,swat,1,normal_KL,vlinear,16,2,0.0001,0.3142857142857143,0.40714285714285714,0.44642857142857134,0.5464285714285715,0.46535714285714286,257580,7,0,1000,0,0,16,2,51,0,mag_phase,attention,aerca_based
swatdeep_mlp_(no mean)_normal_KL19_200214_7_0.0001_1_window_7,swat,1,normal_KL,deep_mlp,256,2,0.0001,0.24285714285714288,0.27142857142857146,0.2857142857142857,0.30714285714285716,0.2814285714285714,202914621,7,1,1000,0,0,128,2,51,0,normal,gated,aerca_based
deep_mlp_(no mean)_normal_KL19_200549_7_0.0001_1_window_7,swat,1,normal_KL,deep_mlp,256,2,0.0001,0.06428571428571428,0.06785714285714285,0.1107142857142857,0.28928571428571426,0.14357142857142854,1920358,7,0,1000,0,0,128,2,51,0,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL19_200908_7_0.0001_1_window_7,swat,1,normal_KL,deep_mlp,256,2,0.0001,0.04285714285714285,0.08928571428571427,0.15357142857142855,0.4035714285714286,0.20035714285714284,795911,7,0,1000,0,0,128,2,51,0,normal,gated,iTransformer
swatGVAR_(no mean)_normal_KL19_201134_7_0.0001_1_window_7,swat,1,normal_KL,GVAR,256,2,0.0001,0.35,0.43571428571428567,0.45714285714285713,0.49642857142857133,0.4510714285714285,67638207,7,0,1000,0,0,256,2,51,0,mag_phase,attention,aerca_based
swatcausalrca_(no mean)_normal_KL19_202953_7_0.0001_1_window_7,swat,1,normal_KL,causalrca,256,2,0.0001,0.07142857142857142,0.10714285714285714,0.1357142857142857,0.28214285714285714,0.16964285714285712,6742,7,0,1000,0,0,256,2,51,0,mag_phase,attention,aerca_based
swatrcd_(no mean)_normal_KL19_203342_7_0.0001_1_window_7,swat,1,normal_KL,rcd,256,2,0.0001,0.0,0.0,0.0,0.3,0.1,0,7,0,100,0,0,128,2,51,0,normal,gated,aerca_based
swatepsilon_diagnosis_(no mean)_normal_KL19_203413_7_0.0001_1_window_7,swat,1,normal_KL,epsilon_diagnosis,256,2,0.0001,0.05,0.075,0.075,0.375,0.11000000000000001,0,7,0,100,0,0,128,2,51,0,normal,gated,aerca_based
swatvlinear_(no mean)_normal_KL19_203603_10_0.0001_1_window_10,swat,1,normal_KL,vlinear,16,2,0.0001,0.29,0.41,0.4575,0.55,0.46224999999999994,260580,10,0,1000,0,0,16,2,51,0,mag_phase,attention,aerca_based
