scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
wadivlinear_(no mean)_normal_KL16_174102_5_0.0001_1_window_5,wadi,1,normal_KL,vlinear,256,1,0.0001,0.23750000000000002,0.3375,0.39999999999999997,0.47500000000000003,0.38125000000000003,410740,5,0,1000,0,0,256,1,123,0,mag_phase,attention,aerca_based
wadivlinear_(no mean)_normal_KL16_174947_1_0.0001_1_window_1,wadi,1,normal_KL,vlinear,256,1,0.0001,0.1,0.3125,0.38749999999999996,0.525,0.38249999999999995,406164,1,0,1000,0,0,256,1,123,0,mag_phase,attention,aerca_based
wadivlinear_(no mean)_normal_KL16_175547_7_0.0001_1_window_7,wadi,1,normal_KL,vlinear,256,1,0.0001,0.275,0.4,0.4624999999999999,0.525,0.44375,413028,7,0,1000,0,0,256,1,123,0,mag_phase,attention,aerca_based
wadivlinear_(no mean)_normal_KL16_180403_10_0.0001_1_window_10,wadi,1,normal_KL,vlinear,256,1,0.0001,0.1625,0.375,0.44999999999999996,0.55,0.4125,416460,10,0,1000,0,0,256,1,123,0,mag_phase,attention,aerca_based
wadideep_mlp_(no mean)_normal_KL16_181353_5_0.0001_1_window_5,wadi,1,normal_KL,deep_mlp,256,2,0.0001,0.07500000000000001,0.125,0.13749999999999998,0.2,0.14625,29760375,5,1,1000,0,0,128,2,123,0,normal,gated,aerca_based
wadideep_mlp_(no mean)_normal_KL16_182918_1_0.0001_1_window_1,wadi,1,normal_KL,deep_mlp,256,2,0.0001,0.23750000000000002,0.275,0.3375,0.4125,0.33375,5952075,1,1,1000,0,0,128,2,123,0,normal,gated,aerca_based
wadideep_mlp_(no mean)_normal_KL16_184009_7_0.0001_1_window_7,wadi,1,normal_KL,deep_mlp,256,2,0.0001,0.05,0.125,0.1625,0.1875,0.14875,41664525,7,1,1000,0,0,128,2,123,0,normal,gated,aerca_based
deep_mlp_(no mean)_normal_KL16_185622_5_0.0001_1_window_5,wadi,1,normal_KL,deep_mlp,256,2,0.0001,0.1125,0.1625,0.1875,0.2375,0.19375,794885,5,0,1000,0,0,128,2,123,0,normal,gated,iTransformer
deep_mlp_(no mean)_normal_KL16_185946_1_0.0001_1_window_1,wadi,1,normal_KL,deep_mlp,256,2,0.0001,0.19999999999999998,0.25,0.25,0.2875,0.25625,792833,1,0,1000,0,0,128,2,123,0,normal,gated,iTransformer
deep_mlp_(no mean)_normal_KL16_190237_7_0.0001_1_window_7,wadi,1,normal_KL,deep_mlp,256,2,0.0001,0.025,0.037500000000000006,0.05,0.0875,0.05750000000000001,795911,7,0,1000,0,0,128,2,123,0,normal,gated,iTransformer
deep_mlp_(no mean)_normal_KL16_190613_10_0.0001_1_window_10,wadi,1,normal_KL,deep_mlp,256,2,0.0001,0.0,0.0,0.0,0.0,0.0,797450,10,0,1000,0,0,128,2,123,0,normal,gated,iTransformer
wadicausalrca_(no mean)_normal_KL16_191055_5_0.0001_1_window_5,wadi,1,normal_KL,causalrca,256,2,0.0001,0.1375,0.3375,0.3625,0.44999999999999996,0.355,31798,5,0,1000,0,0,256,2,123,0,mag_phase,attention,aerca_based
wadicausalrca_(no mean)_normal_KL16_191659_1_0.0001_1_window_1,wadi,1,normal_KL,causalrca,256,2,0.0001,0.1375,0.3375,0.42499999999999993,0.475,0.38625000000000004,31798,1,0,1000,0,0,256,2,123,0,mag_phase,attention,aerca_based
wadicausalrca_(no mean)_normal_KL16_192131_7_0.0001_1_window_7,wadi,1,normal_KL,causalrca,256,2,0.0001,0.1375,0.3375,0.38749999999999996,0.475,0.36500000000000005,31798,7,0,1000,0,0,256,2,123,0,mag_phase,attention,aerca_based
wadicausalrca_(no mean)_normal_KL16_192714_10_0.0001_1_window_10,wadi,1,normal_KL,causalrca,256,2,0.0001,0.25,0.35000000000000003,0.3625,0.36875,0.34562499999999996,31798,10,0,1000,0,0,256,2,123,0,mag_phase,attention,aerca_based
wadiGVAR_(no mean)_normal_KL17_214536_5_0.0001_1_window_5,wadi,1,normal_KL,GVAR,256,2,0.0001,0.1125,0.1625,0.2,0.225,0.18750000000000003,9920125,5,0,1000,0,0,256,2,123,0,mag_phase,attention,aerca_based
