scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM
wadibaro_(no mean)_normal_KL04_172019_4_0.0001_1_window_4,wadi,1,normal_KL,baro,128,0,0.0001,0.25,0.25,0.25,0.25,0.25,0,4,0,100,0,0,128,2,123,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2746716503501043,0.25,0.25,0.25,0.25,0.25,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0
waditorai_(no mean)_normal_KL04_172057_4_0.0001_1_window_4,wadi,1,normal_KL,torai,128,0,0.0001,0.25,0.25,0.25,0.25,0.25,0,4,0,100,0,0,128,2,123,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2733949173775875,0.25,0.25,0.25,0.25,0.25,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0
wadivlinear_(no mean)_normal_KL04_174138_4_0.0001_1_window_4,wadi,1,normal_KL,vlinear,64,0,0.0001,0.125,0.375,0.375,0.375,0.3375,41734,4,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.10232800534524672,0.0,0.125,0.125,0.25,0.3375,0.08003905296791061,1.0,0.2589374780654907,3.861936122460724,0.3909950256347656,18.95263671875,136.2569282054901,0.6812846410274506,17738.547550073225,733.9111328125,0,0,0
wadiGVAR_(no mean)_normal_KL04_174509_4_0.0001_1_window_4,wadi,1,normal_KL,GVAR,64,0,0.0001,0.125,0.25,0.25,0.25,0.225,3182211,4,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.15836825333987667,0.125,0.125,0.125,0.125,0.225,0.05,1.0,0.20295658707618713,4.927162081340152,12.370903015136719,66.80615234375,99.09744834899902,0.49548724174499514,24390.133553064526,626.294921875,0,0,0
wadivlinear_(no mean)_normal_KL04_175305_6_0.0001_1_window_6,wadi,1,normal_KL,vlinear,64,0,0.0001,0.125,0.375,0.5,0.625,0.45,42122,6,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.07503126545170778,0.0,0.125,0.125,0.125,0.45,0.17853571071357124,1.0,0.20280802249908447,4.930771414649113,0.3925514221191406,19.3984375,137.91260433197021,0.6895630216598511,11682.761034094254,1117.40673828125,0,0,0
wadiGVAR_(no mean)_normal_KL04_175620_6_0.0001_1_window_6,wadi,1,normal_KL,GVAR,64,0,0.0001,0.25,0.25,0.25,0.5,0.2875,5303685,6,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.18388167935865304,0.125,0.125,0.125,0.25,0.2875,0.08003905296791061,1.0,0.22227996587753296,4.498830994741823,20.46368408203125,102.03955078125,101.7803099155426,0.508901549577713,15830.173845383013,970.2978515625,0,0,0
wadibaro_(no mean)_normal_KL04_175907_6_0.0001_1_window_6,wadi,1,normal_KL,baro,128,0,0.0001,0.25,0.375,0.375,0.375,0.35,0,6,0,100,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3142427760577915,0.25,0.375,0.375,0.375,0.35,0.049999999999999996,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM
waditorai_(no mean)_normal_KL04_175916_6_0.0001_1_window_6,wadi,1,normal_KL,torai,128,0,0.0001,0.25,0.25,0.375,0.375,0.3375,0,6,0,100,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.29956054341196336,0.25,0.25,0.375,0.375,0.3375,0.057282196186948006,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM
wadircd_(no mean)_normal_KL04_175931_6_0.0001_1_window_6,wadi,1,normal_KL,rcd,128,0,0.0001,0.0,0.0,0.0,0.0,0.0,0,6,0,100,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2662909588620151,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM
wadicLSTM_(no mean)_normal_KL04_175945_6_0.0001_1_window_6,wadi,1,normal_KL,cLSTM,64,0,0.0001,0.125,0.375,0.5,0.5,0.4,6283071,6,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09208067346716362,0.0,0.125,0.25,0.375,0.4,0.14577379737113252,1.0,0.19569700956344604,5.1099401172800984,24.199745178222656,128.76318359375,617.7901034355164,3.0889505171775817,2608.0055200628085,649.80712890625,0,0,0
