scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM
wadivlinear_(no mean)_normal_KL05_053032_4_0.0001_1_window_4,wadi,1,normal_KL,vlinear,64,0,0.0001,0.125,0.25,0.25,0.375,0.2625,41734,4,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.08320541416640348,0.0,0.125,0.125,0.25,0.2625,0.0875,1.0,0.18594065308570862,5.378060060588546,0.3909950256347656,18.95263671875,127.57425308227539,0.637871265411377,18945.829127772548,1454.2353515625,0,0,0
wadiGVAR_(no mean)_normal_KL05_053339_4_0.0001_1_window_4,wadi,1,normal_KL,GVAR,64,0,0.0001,0.125,0.25,0.25,0.25,0.2375,3182211,4,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.15743333806402562,0.125,0.125,0.125,0.125,0.2375,0.0375,1.0,0.18584123253822327,5.380937192150418,12.370903015136719,66.4970703125,88.6576189994812,0.443288094997406,27262.180366180863,1203.68896484375,0,0,0
wadibaro_(no mean)_normal_KL05_053619_4_0.0001_1_window_4,wadi,1,normal_KL,baro,128,0,0.0001,0.25,0.25,0.25,0.25,0.25,0,4,0,100,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2746716503501043,0.25,0.25,0.25,0.25,0.25,0.0,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM
waditorai_(no mean)_normal_KL05_053627_4_0.0001_1_window_4,wadi,1,normal_KL,torai,128,0,0.0001,0.25,0.25,0.25,0.25,0.25,0,4,0,100,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2733949173775875,0.25,0.25,0.25,0.25,0.25,0.0,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM
wadircd_(no mean)_normal_KL05_053637_4_0.0001_1_window_4,wadi,1,normal_KL,rcd,128,0,0.0001,0.0,0.0,0.0,0.0,0.0,0,4,0,100,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2662909588620151,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM
wadicLSTM_(no mean)_normal_KL05_053650_4_0.0001_1_window_4,wadi,1,normal_KL,cLSTM,64,0,0.0001,0.125,0.25,0.25,0.25,0.225,6283071,4,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0749341804029304,0.0,0.125,0.125,0.125,0.225,0.05,1.0,0.19638872146606445,5.091942106119357,24.199745178222656,129.373046875,465.41870617866516,2.327093530893326,5193.173303765236,814.66015625,0,0,0
wadiCUTS_PLUS_(no mean)_normal_KL05_055158_4_0.0001_1_window_4,wadi,1,normal_KL,CUTS_PLUS,64,0,0.0001,0.25,0.25,0.375,0.5,0.3625,77632,4,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.15908172264901385,0.125,0.125,0.125,0.25,0.3625,0.10383279828647593,1.0,0.19547700881958008,5.115691129297833,0.5278739929199219,18.36474609375,989.1156885623932,4.945578442811966,2443.59686935401,2129.58203125,0,0,0
wadivlinear_(no mean)_normal_KL05_061759_8_0.0001_1_window_8,wadi,1,normal_KL,vlinear,64,0,0.0001,0.125,0.375,0.5,0.5,0.4125,42510,8,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.08014537294428599,0.0,0.125,0.125,0.125,0.4125,0.14842927608797396,1.0,0.19271159172058105,5.189101449849126,0.3941383361816406,19.84423828125,16.656632661819458,0.694026360909144,8705.721194920097,2971.701171875,0,0,0
wadiGVAR_(no mean)_normal_KL05_061839_8_0.0001_1_window_8,wadi,1,normal_KL,GVAR,64,0,0.0001,0.25,0.5,0.5,0.5,0.475,7425159,8,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1504193291816549,0.125,0.125,0.125,0.25,0.475,0.075,1.0,0.18554922938346863,5.3894052986516705,28.55646514892578,133.68994140625,96.72728300094604,0.4836364150047302,12492.855815956096,2523.5634765625,0,0,0
wadibaro_(no mean)_normal_KL05_062123_8_0.0001_1_window_8,wadi,1,normal_KL,baro,128,0,0.0001,0.375,0.375,0.375,0.375,0.375,0,8,0,100,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.405010569716452,0.375,0.375,0.375,0.375,0.375,0.0,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM
