scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
wadivlinear_(no mean)_normal_KL20_005415_1_0.0001_1_window_1,wadi,1,normal_KL,vlinear,16,2,0.0001,0.0,0.125,0.125,0.25,0.15,406164,1,0,1000,0,0,16,2,123,0,mag_phase,attention,aerca_based
wadideep_mlp_(no mean)_normal_KL20_005615_1_0.0001_1_window_1,wadi,1,normal_KL,deep_mlp,256,2,0.0001,0.125,0.125,0.125,0.125,0.125,5952075,1,1,1000,0,0,128,2,123,0,normal,gated,aerca_based
deep_mlp_(no mean)_normal_KL20_005659_1_0.0001_1_window_1,wadi,1,normal_KL,deep_mlp,256,2,0.0001,0.0,0.0,0.0,0.0,0.0,1795574,1,0,1000,0,0,128,2,123,0,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_005846_1_0.0001_1_window_1,wadi,1,normal_KL,deep_mlp,256,2,0.0001,0.0,0.0,0.0,0.0,0.0,792833,1,0,1000,0,0,128,2,123,0,normal,gated,iTransformer
wadiGVAR_(no mean)_normal_KL20_010042_1_0.0001_1_window_1,wadi,1,normal_KL,GVAR,256,2,0.0001,0.125,0.125,0.125,0.3125,0.16875,1984025,1,0,1000,0,0,256,2,123,0,mag_phase,attention,aerca_based
wadicausalrca_(no mean)_normal_KL20_010245_1_0.0001_1_window_1,wadi,1,normal_KL,causalrca,256,2,0.0001,0.0,0.125,0.125,0.25,0.1625,31798,1,0,1000,0,0,256,2,123,0,mag_phase,attention,aerca_based
wadivlinear_(no mean)_normal_KL20_010523_5_0.0001_1_window_5,wadi,1,normal_KL,vlinear,16,2,0.0001,0.125,0.325,0.4000000000000001,0.47500000000000003,0.36000000000000004,410740,5,0,1000,0,0,16,2,123,0,mag_phase,attention,aerca_based
wadideep_mlp_(no mean)_normal_KL20_011126_5_0.0001_1_window_5,wadi,1,normal_KL,deep_mlp,256,2,0.0001,0.125,0.15000000000000002,0.2,0.25,0.2,29760375,5,1,1000,0,0,128,2,123,0,normal,gated,aerca_based
deep_mlp_(no mean)_normal_KL20_012109_5_0.0001_1_window_5,wadi,1,normal_KL,deep_mlp,256,2,0.0001,0.0,0.0,0.0,0.0,0.0,2057718,5,0,1000,0,0,128,2,123,0,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_012344_5_0.0001_1_window_5,wadi,1,normal_KL,deep_mlp,256,2,0.0001,0.0,0.0,0.0,0.0,0.0,794885,5,0,1000,0,0,128,2,123,0,normal,gated,iTransformer
