scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,flops,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj
batadalvlinear_(no mean)_normal_KL18_135551_16_0.0001_1_window_16,batadal,1,normal_KL,vlinear,256,0,0.0001,0.42857142857142855,0.23809523809523808,0.19999999999999998,0.27261904761904765,0.2552891156462585,279445,279.176539,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4099906629318394,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.2552891156462585,0.07709832703477373,1.0,0.01826963671438924,54.73562587111521,1.839141845703125,523.890625,0,0,0,0,1,0
batadalGVAR_(no mean)_normal_KL18_135558_16_0.0001_1_window_16,batadal,1,normal_KL,GVAR,256,0,0.0001,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2261904761904762,0.18408163265306124,14205015,14.174295,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.17627555583950932,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.18408163265306124,0.03154614753522121,1.0,0.054258350999979096,18.430342639797242,54.959999084472656,605.890625,0,0,0,0,1,0
batadalcLSTM_(no mean)_normal_KL18_135607_16_0.0001_1_window_16,batadal,1,normal_KL,cLSTM,256,0,0.0001,0.42857142857142855,0.23809523809523808,0.17142857142857143,0.2547619047619048,0.2376360544217687,13264683,0.176128,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.22356423338566198,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.2376360544217687,0.07298720780151086,1.0,0.11021760242861742,9.072960924255737,51.37291717529297,640.21875,0,0,0,0,1,0
batadalCUTS_PLUS_(no mean)_normal_KL18_135620_16_0.0001_1_window_16,batadal,1,normal_KL,CUTS_PLUS,256,0,0.0001,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.23095238095238096,0.17146258503401363,265828,150.795168,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.34358974358974365,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.17146258503401363,0.0470769557343145,1.0,0.1034729554286449,9.66436104832824,1.7862205505371094,697.015625,0,0,0,0,1,0
batadalvlinear_(no mean)_normal_KL18_182006_16_0.0001_1_window_16,batadal,1,normal_KL,vlinear,256,0,0.0001,0.42857142857142855,0.23809523809523808,0.19999999999999998,0.27261904761904765,0.2552891156462585,279445,279.176539,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4099906629318394,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.2552891156462585,0.07709832703477373,1.0,0.01796249671419251,55.67154811000639,1.839141845703125,524.21875,0,0,0,0,1,0
batadalvlinear_(no mean)_normal_KL22_142711_16_0.0001_2_window_16,batadal,2,normal_KL,vlinear,256,0,0.0001,0.2857142857142857,0.23809523809523808,0.17142857142857146,0.20476190476190476,0.2065986394557823,279445,279.176539,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.44331678617392906,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.2065986394557823,0.0447696967144407,1.0,0.021721695571484036,46.0369217821461,1.839141845703125,523.0,0,0,0,0,1,0
batadalGVAR_(no mean)_normal_KL22_142719_16_0.0001_2_window_16,batadal,2,normal_KL,GVAR,256,0,0.0001,0.0,0.14285714285714285,0.14285714285714285,0.22738095238095238,0.14549319727891158,14205015,14.174295,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.22037105751391464,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14549319727891158,0.062211258613856575,1.0,0.049692647142819624,20.123701543327737,54.959999084472656,604.71875,0,0,0,0,1,0
batadalcLSTM_(no mean)_normal_KL22_142727_16_0.0001_2_window_16,batadal,2,normal_KL,cLSTM,256,0,0.0001,0.42857142857142855,0.19047619047619047,0.14285714285714285,0.14523809523809522,0.19455782312925168,13264683,0.176128,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.22799554456757237,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.19455782312925168,0.08889207037668015,1.0,0.11205278228570544,8.92436563913478,51.37291717529297,642.171875,0,0,0,0,1,0
batadalCUTS_PLUS_(no mean)_normal_KL22_142740_16_0.0001_2_window_16,batadal,2,normal_KL,CUTS_PLUS,256,0,0.0001,0.2857142857142857,0.19047619047619047,0.17142857142857146,0.29642857142857143,0.22957482993197278,265828,150.795168,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5306122448979591,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.22957482993197278,0.04361238297356055,1.0,0.10460739557142265,9.559553552953446,1.7862205505371094,697.375,0,0,0,0,1,0
batadalvlinear_(no mean)_normal_KL22_142748_16_0.0001_3_window_16,batadal,3,normal_KL,vlinear,256,0,0.0001,0.42857142857142855,0.2857142857142857,0.17142857142857146,0.2630952380952381,0.2527721088435374,279445,279.176539,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4091269841269841,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.2527721088435374,0.07937590811288668,1.0,0.01762721628568085,56.73045498467797,1.839141845703125,521.234375,0,0,0,0,1,0
