scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,flops,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj
batadalvlinear_(no mean)_normal_KL23_180037_16_0.0001_1_window_16,batadal,1,normal_KL,vlinear,256,0,0.0001,0.5714285714285714,0.23809523809523808,0.17142857142857146,0.2261904761904762,0.24551020408163268,279445,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4792568542568542,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.24551020408163268,0.12139796485403705,1.0,0.1614078084285211,6.19548713123657,1.839141845703125,504.04296875,0,0,0,0,1,0
batadalGVAR_(no mean)_normal_KL23_180125_16_0.0001_1_window_16,batadal,1,normal_KL,GVAR,256,0,0.0001,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2261904761904762,0.18408163265306124,14205015,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.17627555583950932,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.18408163265306124,0.03154614753522121,1.0,0.3443237390001741,2.904243555508946,54.959999084472656,588.92578125,0,0,0,0,1,0
batadalcLSTM_(no mean)_normal_KL23_180228_16_0.0001_1_window_16,batadal,1,normal_KL,cLSTM,256,0,0.0001,0.42857142857142855,0.23809523809523808,0.17142857142857143,0.2547619047619048,0.2376360544217687,13264683,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.22356423338566198,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.2376360544217687,0.07298720780151086,1.0,1.5121235819998609,0.6613216088313687,51.37291717529297,610.85546875,0,0,0,0,1,0
batadalcMLP_(no mean)_normal_KL23_180342_16_0.0001_1_window_16,batadal,1,normal_KL,cMLP,256,0,0.0001,0.42857142857142855,0.19047619047619047,0.17142857142857143,0.25952380952380955,0.22358843537414966,7122219,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2864006864006864,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.8571428571428571,0.22358843537414966,0.07297222700274156,1.0,0.13197591257124128,7.577140256258466,27.94127655029297,542.4140625,0,0,0,0,1,0
batadalCUTS_PLUS_(no mean)_normal_KL23_180636_16_0.0001_1_window_16,batadal,1,normal_KL,CUTS_PLUS,256,0,0.0001,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.23095238095238096,0.17146258503401363,265828,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.34358974358974365,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.17146258503401363,0.0470769557343145,1.0,0.6973377887143215,1.434025254595331,1.7862205505371094,675.28125,0,0,0,0,1,0
batadalvlinear_(no mean)_normal_KL23_180736_16_0.0001_2_window_16,batadal,2,normal_KL,vlinear,256,0,0.0001,0.42857142857142855,0.2857142857142857,0.17142857142857146,0.21547619047619046,0.2369387755102041,279445,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.40447845804988664,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.2369387755102041,0.08782322805181582,1.0,0.14133746728592606,7.075264748992548,1.839141845703125,502.21875,0,0,0,0,1,0
batadalGVAR_(no mean)_normal_KL23_180824_16_0.0001_2_window_16,batadal,2,normal_KL,GVAR,256,0,0.0001,0.0,0.14285714285714285,0.14285714285714285,0.22738095238095238,0.14549319727891158,14205015,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.22037105751391464,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14549319727891158,0.062211258613856575,1.0,0.42841223528583733,2.334200374395933,54.959999084472656,426.70703125,0,0,0,0,1,0
batadalcLSTM_(no mean)_normal_KL23_180928_16_0.0001_2_window_16,batadal,2,normal_KL,cLSTM,256,0,0.0001,0.42857142857142855,0.19047619047619047,0.14285714285714285,0.14523809523809522,0.19455782312925168,13264683,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.22799554456757237,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.19455782312925168,0.08889207037668015,1.0,1.469386402714138,0.68055618192252,51.37291717529297,606.53125,0,0,0,0,1,0
batadalcMLP_(no mean)_normal_KL23_181042_16_0.0001_2_window_16,batadal,2,normal_KL,cMLP,256,0,0.0001,0.2857142857142857,0.14285714285714285,0.1142857142857143,0.13452380952380952,0.15003401360544216,7122219,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.36809056956115777,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.8571428571428571,0.15003401360544216,0.05344211798769218,1.0,0.12734507242852747,7.852679188362399,27.94127655029297,526.48046875,0,0,0,0,1,0
batadalCUTS_PLUS_(no mean)_normal_KL23_181333_16_0.0001_2_window_16,batadal,2,normal_KL,CUTS_PLUS,256,0,0.0001,0.2857142857142857,0.19047619047619047,0.17142857142857146,0.29642857142857143,0.22957482993197278,265828,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5306122448979591,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.22957482993197278,0.04361238297356055,1.0,0.6951547952859463,1.4385285216779065,1.7862205505371094,632.125,0,0,0,0,1,0
