scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,flops,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,avg_power_w,total_energy_j,joules_per_sample
batadalvlinear_(no mean)_normal_KL29_155028_16_0.0001_1_window_16,batadal,1,normal_KL,vlinear,256,0,0.0001,0.42857142857142855,0.23809523809523808,0.19999999999999998,0.27261904761904765,0.2552891156462585,279445,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4099906629318394,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.2552891156462585,0.07709832703477373,1.0,0.021957689714067134,45.5421318463824,1.839141845703125,521.859375,0,0,0,0,1,0,3.7686302336797373,0.5548653595416698,0.07926647993452426
batadalGVAR_(no mean)_normal_KL29_155035_16_0.0001_1_window_16,batadal,1,normal_KL,GVAR,256,0,0.0001,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2261904761904762,0.18408163265306124,14205015,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.17627555583950932,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.18408163265306124,0.03154614753522121,1.0,0.05200887785706852,19.22748656004871,54.959999084472656,595.515625,0,0,0,0,1,0,4.465804706519499,1.4403738512060096,0.20576769302942993
batadalcLSTM_(no mean)_normal_KL29_155044_16_0.0001_1_window_16,batadal,1,normal_KL,cLSTM,256,0,0.0001,0.42857142857142855,0.23809523809523808,0.17142857142857143,0.2547619047619048,0.2376360544217687,13264683,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.22356423338566198,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.2376360544217687,0.07298720780151086,1.0,0.1131227631425905,8.839953800805825,51.37291717529297,559.671875,0,0,0,0,1,0,5.03604101998375,3.7692142124193664,0.5384591732027666
batadalcMLP_(no mean)_normal_KL29_155053_16_0.0001_1_window_16,batadal,1,normal_KL,cMLP,256,0,0.0001,0.42857142857142855,0.19047619047619047,0.17142857142857143,0.25952380952380955,0.22358843537414966,7122219,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2864006864006864,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.8571428571428571,0.22358843537414966,0.07297222700274156,1.0,0.017179892285639653,58.20758264217297,27.94127655029297,551.9375,0,0,0,0,1,0,4.79459921162072,0.4525151390736574,0.06464501986766534
batadaldeep_mlp_(no mean)_normal_KL29_155101_16_0.0001_1_window_16,batadal,1,normal_KL,deep_mlp,256,0,0.0001,0.2857142857142857,0.09523809523809523,0.1142857142857143,0.10595238095238095,0.12384353741496601,42615045,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3888955582232893,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.8571428571428571,0.12384353741496601,0.05583728832389203,1.0,0.18894021442883968,5.292679501941757,163.33566284179688,834.046875,0,0,0,0,1,0,4.386706584571805,5.633615949540486,0.8048022785057837
batadalCUTS_PLUS_(no mean)_normal_KL29_155111_16_0.0001_1_window_16,batadal,1,normal_KL,CUTS_PLUS,256,0,0.0001,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.23095238095238096,0.17146258503401363,265828,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.34358974358974365,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.17146258503401363,0.0470769557343145,1.0,0.10338009971435115,9.673041550192863,1.7862205505371094,508.921875,0,0,0,0,1,0,3.790742384714421,2.5626239506084425,0.36608913580120606
batadaliTransformer_(no mean)_normal_KL29_155119_16_0.0001_1_window_16,batadal,1,normal_KL,iTransformer,256,0,0.0001,0.0,0.0,0.028571428571428574,0.20357142857142857,0.07430272108843539,800015,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.07840328479273713,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.07430272108843539,0.07175917377113264,1.0,0.009671683571208891,103.39461507785941,3.8239822387695312,512.1875,0,0,0,0,1,0,4.32924808192538,0.20038309617169214,0.02862615659595602
batadalTimeMixerpp_(no mean)_normal_KL29_155126_16_0.0001_1_window_16,batadal,1,normal_KL,TimeMixerpp,256,0,0.0001,0.0,0.0,0.08571428571428573,0.15833333333333335,0.06418367346938776,576557,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.07387298985920407,0.0,0.0,0.0,0.2857142857142857,0.06418367346938776,0.048101852733371815,1.0,0.014350655285722626,69.68322909929371,7.8543701171875,518.75,0,0,0,0,1,0,4.481191218581133,0.421398523714347,0.060199789102049574
batadalvlinear_(no mean)_normal_KL29_155133_16_0.0001_2_window_16,batadal,2,normal_KL,vlinear,256,0,0.0001,0.2857142857142857,0.23809523809523808,0.17142857142857146,0.20476190476190476,0.2065986394557823,279445,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.44331678617392906,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.2065986394557823,0.0447696967144407,1.0,0.01960999828549705,50.99439507547378,1.839141845703125,521.234375,0,0,0,0,1,0,4.41276427907735,0.4371131658047497,0.062444737972107096
batadalGVAR_(no mean)_normal_KL29_155140_16_0.0001_2_window_16,batadal,2,normal_KL,GVAR,256,0,0.0001,0.0,0.14285714285714285,0.14285714285714285,0.22738095238095238,0.14549319727891158,14205015,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.22037105751391464,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14549319727891158,0.062211258613856575,1.0,0.055101606857013916,18.148291076065224,54.959999084472656,593.4375,0,0,0,0,1,0,4.357754126631371,1.6495924153729975,0.23565605933899963
