scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,flops,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj
swatGVAR_(no mean)_normal_KL19_110235_8_0.0001_2_window_8,swat,2,normal_KL,GVAR,128,0,0.0001,0.3,0.35,0.35,0.375,0.345,3204383,3.197215,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.055152012280680326,0.0,0.0,0.0,0.15,0.345,0.024494897427831782,1.0,0.021754035699993325,45.96848206883777,12.442119598388672,808.75,0,0,0,0,1,0
swatcLSTM_(no mean)_normal_KL19_110245_8_0.0001_2_window_8,swat,2,normal_KL,cLSTM,128,0,0.0001,0.3,0.3,0.3,0.35,0.31,4732851,0.052224,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09415792916821446,0.0,0.1,0.1,0.25,0.31,0.019999999999999997,1.0,0.03853667454999936,25.949307034849394,18.272762298583984,849.21875,0,0,0,0,1,0
swatCUTS_PLUS_(no mean)_normal_KL19_110257_8_0.0001_2_window_8,swat,2,normal_KL,CUTS_PLUS,128,0,0.0001,0.2,0.2,0.25,0.25,0.23500000000000001,91612,25.506128,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09394531323299725,0.05,0.05,0.1,0.15,0.23500000000000001,0.022912878474779193,1.0,0.04669898249998709,21.413742794080715,0.567840576171875,895.90625,0,0,0,0,1,0
swatvlinear_(no mean)_normal_KL19_110307_8_0.0001_2_window_8,swat,2,normal_KL,vlinear,128,0,0.0001,0.2,0.25,0.35,0.45,0.35000000000000003,108141,44.801607,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09107961464578981,0.05,0.05,0.05,0.15,0.35000000000000003,0.08660254037844388,1.0,0.007548059149993946,132.4843883875502,0.6311378479003906,796.578125,0,0,0,0,1,0
swatGVAR_(no mean)_normal_KL19_110317_8_0.0001_3_window_8,swat,3,normal_KL,GVAR,128,0,0.0001,0.25,0.25,0.35,0.4,0.33499999999999996,3204383,3.197215,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.05347222821537155,0.0,0.0,0.0,0.15,0.33499999999999996,0.07088723439378913,1.0,0.021825700349995713,45.817544636096706,12.442119598388672,808.859375,0,0,0,0,1,0
swatcLSTM_(no mean)_normal_KL19_110327_8_0.0001_3_window_8,swat,3,normal_KL,cLSTM,128,0,0.0001,0.3,0.35,0.35,0.35,0.33999999999999997,4732851,0.052224,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.03899214421289609,0.0,0.0,0.0,0.1,0.33999999999999997,0.019999999999999997,1.0,0.0379391679499804,26.35798447974441,18.272762298583984,849.59375,0,0,0,0,1,0
swatCUTS_PLUS_(no mean)_normal_KL19_110339_8_0.0001_3_window_8,swat,3,normal_KL,CUTS_PLUS,128,0,0.0001,0.2,0.25,0.3,0.4,0.31499999999999995,91612,25.506128,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.04287586564157734,0.0,0.0,0.0,0.0,0.31499999999999995,0.07433034373659253,1.0,0.047471105900001476,21.065445622996723,0.567840576171875,895.890625,0,0,0,0,1,0
swatvlinear_(no mean)_normal_KL19_110349_8_0.0001_3_window_8,swat,3,normal_KL,vlinear,128,0,0.0001,0.25,0.25,0.3,0.35,0.305,108141,44.801607,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.08220860570418512,0.0,0.05,0.1,0.25,0.305,0.04716990566028301,1.0,0.008003477999977804,124.9456798660249,0.6311378479003906,797.4375,0,0,0,0,1,0
swatvlinear_(no mean)_normal_KL22_135524_8_0.0001_1_window_8,swat,1,normal_KL,vlinear,128,0,0.0001,0.25,0.3,0.45,0.45,0.38500000000000006,108141,44.801607,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.054005415849284144,0.0,0.05,0.05,0.05,0.38500000000000006,0.08381527307120105,1.0,0.009128125399985264,109.55151865043553,0.6311378479003906,796.609375,0,0,0,0,1,0
swatGVAR_(no mean)_normal_KL22_140314_8_0.0001_1_window_8,swat,1,normal_KL,GVAR,128,0,0.0001,0.3,0.35,0.35,0.35,0.33999999999999997,3204383,3.197215,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.04781493670132419,0.0,0.0,0.0,0.05,0.33999999999999997,0.019999999999999997,1.0,0.021650202599983005,46.188944208807776,12.442119598388672,809.0625,0,0,0,0,1,0
swatcLSTM_(no mean)_normal_KL22_140325_8_0.0001_1_window_8,swat,1,normal_KL,cLSTM,128,0,0.0001,0.3,0.35,0.35,0.45,0.36,4732851,0.052224,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.04758780106549557,0.0,0.0,0.0,0.1,0.36,0.04898979485566357,1.0,0.037994063349981386,26.31990136955146,18.272762298583984,836.578125,0,0,0,0,1,0
