scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,flops,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj
swatGVAR_(no mean)_normal_KL23_170436_8_0.0001_1_window_8,swat,1,normal_KL,GVAR,128,0,0.0001,0.3,0.35,0.35,0.35,0.33999999999999997,3204383,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.04781493670132419,0.0,0.0,0.0,0.05,0.33999999999999997,0.019999999999999997,1.0,0.16904240334997667,5.915675476582355,12.442119598388672,363.84765625,0,0,0,0,1,0
swatcLSTM_(no mean)_normal_KL23_170627_8_0.0001_1_window_8,swat,1,normal_KL,cLSTM,128,0,0.0001,0.3,0.35,0.35,0.45,0.36,4732851,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.04758780106549557,0.0,0.0,0.0,0.1,0.36,0.04898979485566357,1.0,0.38002518690000214,2.631404534413491,18.272762298583984,587.18359375,0,0,0,0,1,0
swatCUTS_PLUS_(no mean)_normal_KL23_170831_8_0.0001_1_window_8,swat,1,normal_KL,CUTS_PLUS,128,0,0.0001,0.25,0.25,0.3,0.3,0.27999999999999997,91612,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.18491892109152172,0.0,0.3,0.35,0.45,0.27999999999999997,0.02449489742783178,1.0,0.29127920574997007,3.4331321297902253,0.567840576171875,581.890625,0,0,0,0,1,0
swatvlinear_(no mean)_normal_KL23_171014_8_0.0001_1_window_8,swat,1,normal_KL,vlinear,128,0,0.0001,0.25,0.3,0.45,0.45,0.38500000000000006,108141,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.054005415849284144,0.0,0.05,0.05,0.05,0.38500000000000006,0.08381527307120105,1.0,0.06159889789998942,16.234056681072076,0.6311378479003906,463.71484375,0,0,0,0,1,0
swatcMLP_(no mean)_normal_KL23_171150_8_0.0001_1_window_8,swat,1,normal_KL,cMLP,128,0,0.0001,0.1,0.2,0.35,0.55,0.34500000000000003,2343603,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.05840241414367553,0.0,0.0,0.0,0.05,0.34500000000000003,0.15074813431681336,1.0,0.10516178614996079,9.509157619042332,9.158504486083984,615.84375,0,0,0,0,1,0
swatdeep_mlp_(no mean)_normal_KL23_171328_8_0.0001_1_window_8,swat,1,normal_KL,deep_mlp,128,0,0.0001,0.15,0.25,0.3,0.4,0.305,9613149,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.05006563263072146,0.0,0.0,0.05,0.15,0.305,0.07566372975210779,1.0,0.5242392448999681,1.9075260193288532,36.88962173461914,645.37109375,0,0,0,0,1,0
swatGVAR_(no mean)_normal_KL23_171513_8_0.0001_2_window_8,swat,2,normal_KL,GVAR,128,0,0.0001,0.3,0.35,0.35,0.375,0.345,3204383,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.055152012280680326,0.0,0.0,0.0,0.15,0.345,0.024494897427831782,1.0,0.16148071404991243,6.192689980866122,12.442119598388672,478.015625,0,0,0,0,1,0
swatcLSTM_(no mean)_normal_KL23_171655_8_0.0001_2_window_8,swat,2,normal_KL,cLSTM,128,0,0.0001,0.3,0.3,0.3,0.35,0.31,4732851,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09415792916821446,0.0,0.1,0.1,0.25,0.31,0.019999999999999997,1.0,0.35458579965004444,2.820191899920814,18.272762298583984,681.7734375,0,0,0,0,1,0
swatCUTS_PLUS_(no mean)_normal_KL23_171853_8_0.0001_2_window_8,swat,2,normal_KL,CUTS_PLUS,128,0,0.0001,0.2,0.2,0.25,0.25,0.23500000000000001,91612,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09394531323299725,0.05,0.05,0.1,0.15,0.23500000000000001,0.022912878474779193,1.0,0.29181126815001335,3.4268724656853324,0.567840576171875,568.359375,0,0,0,0,1,0
swatvlinear_(no mean)_normal_KL23_172031_8_0.0001_2_window_8,swat,2,normal_KL,vlinear,128,0,0.0001,0.2,0.25,0.35,0.45,0.35000000000000003,108141,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09107961464578981,0.05,0.05,0.05,0.15,0.35000000000000003,0.08660254037844388,1.0,0.0637114090500063,15.695775920057148,0.6311378479003906,490.375,0,0,0,0,1,0
swatcMLP_(no mean)_normal_KL23_172210_8_0.0001_2_window_8,swat,2,normal_KL,cMLP,128,0,0.0001,0.1,0.25,0.25,0.5,0.29500000000000004,2343603,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.05364866924101488,0.0,0.0,0.0,0.0,0.29500000000000004,0.1105667219374799,1.0,0.09911232314998415,10.089562712466396,9.158504486083984,648.12109375,0,0,0,0,1,0
swatdeep_mlp_(no mean)_normal_KL23_172347_8_0.0001_2_window_8,swat,2,normal_KL,deep_mlp,128,0,0.0001,0.15,0.25,0.3,0.45,0.34,9613149,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.04281164255837586,0.0,0.0,0.0,0.05,0.34,0.10198039027185571,1.0,0.521427962849998,1.9178104575256072,36.88962173461914,686.1171875,0,0,0,0,1,0
swatGVAR_(no mean)_normal_KL23_172531_8_0.0001_3_window_8,swat,3,normal_KL,GVAR,128,0,0.0001,0.25,0.25,0.35,0.4,0.33499999999999996,3204383,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.05347222821537155,0.0,0.0,0.0,0.15,0.33499999999999996,0.07088723439378913,1.0,0.16527662015005262,6.0504625463184825,12.442119598388672,490.9921875,0,0,0,0,1,0
