scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,flops,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,avg_power_w,total_energy_j,joules_per_sample
swatGVAR_(no mean)_normal_KL29_152730_8_0.0001_1_window_8,swat,1,normal_KL,GVAR,128,0,0.0001,0.3,0.35,0.35,0.35,0.33999999999999997,3204383,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.04781493670132419,0.0,0.0,0.0,0.05,0.33999999999999997,0.019999999999999997,1.0,0.024409297749980397,40.967995484458505,12.442119598388672,813.03125,0,0,0,0,1,0,4.357639007415366,1.980499248109033,0.09902496240545165
swatcLSTM_(no mean)_normal_KL29_152740_8_0.0001_1_window_8,swat,1,normal_KL,cLSTM,128,0,0.0001,0.3,0.35,0.35,0.45,0.36,4732851,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.04758780106549557,0.0,0.0,0.0,0.1,0.36,0.04898979485566357,1.0,0.04052699239991853,24.67491271328613,18.272762298583984,809.25,0,0,0,0,1,0,4.560169765823601,3.7566783633185357,0.1878339181659268
swatCUTS_PLUS_(no mean)_normal_KL29_152750_8_0.0001_1_window_8,swat,1,normal_KL,CUTS_PLUS,128,0,0.0001,0.25,0.25,0.3,0.3,0.27999999999999997,91612,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.18491892109152172,0.0,0.3,0.35,0.45,0.27999999999999997,0.02449489742783178,1.0,0.04715404214994123,21.207089666251363,0.567840576171875,789.5625,0,0,0,0,1,0,3.7878568132818016,3.5071904101814946,0.17535952050907472
swatvlinear_(no mean)_normal_KL29_152800_8_0.0001_1_window_8,swat,1,normal_KL,vlinear,128,0,0.0001,0.25,0.3,0.45,0.45,0.38500000000000006,108141,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.054005415849284144,0.0,0.05,0.05,0.05,0.38500000000000006,0.08381527307120105,1.0,0.00830664654999964,120.38552428838365,0.6311378479003906,795.171875,0,0,0,0,1,0,4.554215938195398,0.6291073170543713,0.03145536585271856
swatcMLP_(no mean)_normal_KL29_152809_8_0.0001_1_window_8,swat,1,normal_KL,cMLP,128,0,0.0001,0.1,0.2,0.35,0.55,0.34500000000000003,2343603,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.05840241414367553,0.0,0.0,0.0,0.05,0.34500000000000003,0.15074813431681336,1.0,0.014357339499883891,69.65078732087424,9.158504486083984,806.84375,0,0,0,0,1,0,4.074971403818891,1.2188680510201815,0.06094340255100907
swatdeep_mlp_(no mean)_normal_KL29_152819_8_0.0001_1_window_8,swat,1,normal_KL,deep_mlp,128,0,0.0001,0.15,0.25,0.3,0.4,0.305,9613149,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.05006563263072146,0.0,0.0,0.05,0.15,0.305,0.07566372975210779,1.0,0.0792912854999031,12.611726417289857,36.88962173461914,851.328125,0,0,0,0,1,0,4.135480918264357,6.568606370135992,0.3284303185067996
swatiTransformer_(no mean)_normal_KL29_152830_8_0.0001_1_window_8,swat,1,normal_KL,iTransformer,128,0,0.0001,0.2,0.25,0.35,0.525,0.36250000000000004,201351,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.06907111716809954,0.0,0.1,0.1,0.2,0.36250000000000004,0.1125,1.0,0.007347222850057733,136.10584848289204,0.9864616394042969,790.90625,0,0,0,0,1,0,4.378875157121382,0.6074643269739162,0.03037321634869581
swatTimeMixerpp_(no mean)_normal_KL29_152840_8_0.0001_1_window_8,swat,1,normal_KL,TimeMixerpp,128,0,0.0001,0.2,0.25,0.3,0.4,0.315,160485,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.08662602412353242,0.0,0.1,0.1,0.15,0.315,0.06726812023536856,1.0,0.012145912300138662,82.33222629053428,3.2719764709472656,795.984375,0,0,0,0,1,0,4.036459406235452,0.9358421785444266,0.04679210892722133
swatGVAR_(no mean)_normal_KL29_152849_8_0.0001_2_window_8,swat,2,normal_KL,GVAR,128,0,0.0001,0.3,0.35,0.35,0.375,0.345,3204383,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.055152012280680326,0.0,0.0,0.0,0.15,0.345,0.024494897427831782,1.0,0.022706324400087397,44.040593377418276,12.442119598388672,809.46875,0,0,0,0,1,0,4.013078364408731,1.8574765767667747,0.09287382883833874
swatcLSTM_(no mean)_normal_KL29_152859_8_0.0001_2_window_8,swat,2,normal_KL,cLSTM,128,0,0.0001,0.3,0.3,0.3,0.35,0.31,4732851,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09415792916821446,0.0,0.1,0.1,0.25,0.31,0.019999999999999997,1.0,0.039192992449898156,25.514765203966927,18.272762298583984,809.09375,0,0,0,0,1,0,4.330550222308308,3.271652962766601,0.16358264813833007
swatCUTS_PLUS_(no mean)_normal_KL29_152909_8_0.0001_2_window_8,swat,2,normal_KL,CUTS_PLUS,128,0,0.0001,0.2,0.2,0.25,0.25,0.23500000000000001,91612,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09394531323299725,0.05,0.05,0.1,0.15,0.23500000000000001,0.022912878474779193,1.0,0.045490680400052955,21.982524578789018,0.567840576171875,789.578125,0,0,0,0,1,0,4.356295383957521,3.844361713619948,0.1922180856809974
swatvlinear_(no mean)_normal_KL29_152919_8_0.0001_2_window_8,swat,2,normal_KL,vlinear,128,0,0.0001,0.2,0.25,0.35,0.45,0.35000000000000003,108141,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09107961464578981,0.05,0.05,0.05,0.15,0.35000000000000003,0.08660254037844388,1.0,0.00847104434992616,118.0491989761235,0.6311378479003906,795.625,0,0,0,0,1,0,4.923080906715236,0.7466187953765396,0.03733093976882698
swatcMLP_(no mean)_normal_KL29_152928_8_0.0001_2_window_8,swat,2,normal_KL,cMLP,128,0,0.0001,0.1,0.25,0.25,0.5,0.29500000000000004,2343603,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.05364866924101488,0.0,0.0,0.0,0.0,0.29500000000000004,0.1105667219374799,1.0,0.012231849399995554,81.75378614458444,9.158504486083984,806.875,0,0,0,0,1,0,4.610539019501605,1.0720913344450116,0.05360456672225058
swatdeep_mlp_(no mean)_normal_KL29_152938_8_0.0001_2_window_8,swat,2,normal_KL,deep_mlp,128,0,0.0001,0.15,0.25,0.3,0.45,0.34,9613149,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.04281164255837586,0.0,0.0,0.0,0.05,0.34,0.10198039027185571,1.0,0.07302094594988376,13.694700705278825,36.88962173461914,851.359375,0,0,0,0,1,0,4.31140938253165,6.235654112022809,0.31178270560114046
swatiTransformer_(no mean)_normal_KL29_152949_8_0.0001_2_window_8,swat,2,normal_KL,iTransformer,128,0,0.0001,0.15,0.15,0.2,0.35,0.23000000000000004,201351,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09524960062798614,0.0,0.1,0.1,0.25,0.23000000000000004,0.08426149773176357,1.0,0.009049101849996077,110.50820474525143,0.9864616394042969,790.96875,0,0,0,0,1,0,4.6754275122648306,0.6540994105952953,0.03270497052976477
swatTimeMixerpp_(no mean)_normal_KL29_152958_8_0.0001_2_window_8,swat,2,normal_KL,TimeMixerpp,128,0,0.0001,0.15,0.2,0.25,0.375,0.2525,160485,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.04831895551496,0.0,0.0,0.0,0.15,0.2525,0.06656763477847175,1.0,0.018518066200067552,54.00131899281968,3.2719764709472656,795.9375,0,0,0,0,1,0,3.7099298524205184,1.3310079274540187,0.06655039637270094
