scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,flops,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj
wadiGVAR_(no mean)_normal_KL18_134247_8_0.0001_1_window_8,wadi,1,normal_KL,GVAR,128,0,0.0001,0.06666666666666667,0.23333333333333334,0.23333333333333334,0.27777777777777773,0.2033333333333333,14794759,14.792967,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.08853136745059585,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2033333333333333,0.07810249675906654,1.0,0.0445454793999185,22.44896706627047,56.81012725830078,1738.0,0,0,0,0,1,0
wadicLSTM_(no mean)_normal_KL18_134301_8_0.0001_1_window_8,wadi,1,normal_KL,cLSTM,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.28,16727551,0.130048,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12174717885460991,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.2,0.28,0.02666666666666666,1.0,0.11572239086660072,8.641370027972828,64.18314361572266,1811.5625,0,0,0,0,1,0
wadiCUTS_PLUS_(no mean)_normal_KL18_134322_8_0.0001_1_window_8,wadi,1,normal_KL,CUTS_PLUS,128,0,0.0001,0.13333333333333333,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.22333333333333333,163584,83.35976,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11381153567979085,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.22333333333333333,0.03,1.0,0.1078211095333245,9.274621679634338,0.9966239929199219,1911.0625,0,0,0,0,1,0
wadivlinear_(no mean)_normal_KL18_181956_8_0.0001_1_window_8,wadi,1,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3,0.36666666666666664,0.31666666666666665,35328,33.809483,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11816965487564589,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.31666666666666665,0.03415650255319865,1.0,0.0069382675334054515,144.1281984566511,0.5076103210449219,1679.328125,0,0,0,0,1,0
wadiGVAR_(no mean)_normal_KL22_141038_8_0.0001_2_window_8,wadi,2,normal_KL,GVAR,128,0,0.0001,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.056666666666666664,14794759,14.792967,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0987765294547997,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.056666666666666664,0.015275252316519466,1.0,0.043622163333354065,22.92412671875416,56.81012725830078,1761.796875,0,0,0,0,1,0
wadicLSTM_(no mean)_normal_KL22_141052_8_0.0001_2_window_8,wadi,2,normal_KL,cLSTM,128,0,0.0001,0.26666666666666666,0.26666666666666666,0.28,0.3,0.28133333333333327,16727551,0.130048,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0967111607917673,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.28133333333333327,0.013154354299509986,1.0,0.1164543403333179,8.58705649903456,64.18314361572266,1826.296875,0,0,0,0,1,0
wadiCUTS_PLUS_(no mean)_normal_KL22_141112_8_0.0001_2_window_8,wadi,2,normal_KL,CUTS_PLUS,128,0,0.0001,0.13333333333333333,0.23333333333333334,0.23333333333333334,0.31111111111111106,0.23777777777777778,163584,83.35976,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.20809576092184787,0.06666666666666667,0.2,0.3333333333333333,0.7333333333333333,0.23777777777777778,0.04251361437713108,1.0,0.1081671235999996,9.244953241966432,0.9966239929199219,1910.6875,0,0,0,0,1,0
wadivlinear_(no mean)_normal_KL22_141126_8_0.0001_3_window_8,wadi,3,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.36666666666666664,0.30333333333333334,35328,33.809483,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1268055500469617,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.30333333333333334,0.03480102169636849,1.0,0.006738894599993728,148.3922897385768,0.5076103210449219,1678.328125,0,0,0,0,1,0
wadiGVAR_(no mean)_normal_KL22_141138_8_0.0001_3_window_8,wadi,3,normal_KL,GVAR,128,0,0.0001,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06,14794759,14.792967,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1006488923458071,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06,0.013333333333333332,1.0,0.04139226099996449,24.15910549077901,56.81012725830078,1746.03125,0,0,0,0,1,0
wadicLSTM_(no mean)_normal_KL22_141153_8_0.0001_3_window_8,wadi,3,normal_KL,cLSTM,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.27777777777777773,0.27555555555555555,16727551,0.130048,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.10577878370368782,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2,0.27555555555555555,0.01975154314959019,1.0,0.11012099020000884,9.080920886960202,64.18314361572266,1811.625,0,0,0,0,1,0
wadiCUTS_PLUS_(no mean)_normal_KL22_141213_8_0.0001_3_window_8,wadi,3,normal_KL,CUTS_PLUS,128,0,0.0001,0.13333333333333333,0.16666666666666666,0.26666666666666666,0.27777777777777773,0.23555555555555552,163584,83.35976,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1632569745069745,0.06666666666666667,0.13333333333333333,0.2,0.4666666666666667,0.23555555555555552,0.05461424767753113,1.0,0.10404762326664543,9.610983591977638,0.9966239929199219,1911.0,0,0,0,0,1,0
wadideep_mlp_(no mean)_normal_KL23_162602_8_0.0001_1_window_8,wadi,1,normal_KL,deep_mlp,128,0,0.0001,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03666666666666667,44384277,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09054530281553719,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03666666666666667,0.009999999999999998,1.0,0.1386614581999917,7.211809344725756,169.6851806640625,1850.84375,0,0,0,0,1,0
wadideep_mlp_(no mean)_normal_KL24_115942_8_0.0001_1_window_8,wadi,1,normal_KL,deep_mlp,128,0,0.0001,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03666666666666667,44384277,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09054530281553719,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03666666666666667,0.009999999999999998,1.0,0.16372775453334423,6.107699961134832,169.6851806640625,1850.625,0,0,0,0,1,0
wadicMLP_(no mean)_normal_KL24_120000_8_0.0001_1_window_8,wadi,1,normal_KL,cMLP,128,0,0.0001,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,14484223,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09415182490015692,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.0,1.0,0.05037177566665984,19.85238730946469,55.625526428222656,1785.265625,0,0,0,0,1,0
wadideep_mlp_(no mean)_normal_KL24_120013_8_0.0001_2_window_8,wadi,2,normal_KL,deep_mlp,128,0,0.0001,0.06666666666666667,0.12222222222222222,0.11333333333333333,0.11111111111111112,0.11077777777777778,44384277,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.08651627749395778,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.11077777777777778,0.016208898638147146,1.0,0.15564411819998442,6.424913524294682,169.6851806640625,1850.6875,0,0,0,0,1,0
wadicMLP_(no mean)_normal_KL24_120028_8_0.0001_2_window_8,wadi,2,normal_KL,cMLP,128,0,0.0001,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.29333333333333333,14484223,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0917895915156509,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.29333333333333333,0.03265986323710904,1.0,0.05217618540001846,19.165831927599026,55.625526428222656,1783.5625,0,0,0,0,1,0
wadideep_mlp_(no mean)_normal_KL24_120041_8_0.0001_3_window_8,wadi,3,normal_KL,deep_mlp,128,0,0.0001,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03666666666666667,44384277,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.10059968182319017,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03666666666666667,0.009999999999999998,1.0,0.15755463946667683,6.347004463879988,169.6851806640625,1850.796875,0,0,0,0,1,0
wadicMLP_(no mean)_normal_KL24_120057_8_0.0001_3_window_8,wadi,3,normal_KL,cMLP,128,0,0.0001,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,14484223,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09197427412665446,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.0,1.0,0.05198173906666549,19.237524906920118,55.625526428222656,1784.0,0,0,0,0,1,0
