scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,flops,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj
wadivlinear_(no mean)_normal_KL23_173535_8_0.0001_1_window_8,wadi,1,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3,0.36666666666666664,0.31666666666666665,35328,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11816965487564589,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.31666666666666665,0.03415650255319865,1.0,0.054957254066630414,18.195960059933046,0.5076103210449219,490.80859375,0,0,0,0,1,0
wadiGVAR_(no mean)_normal_KL23_173645_8_0.0001_1_window_8,wadi,1,normal_KL,GVAR,128,0,0.0001,0.06666666666666667,0.23333333333333334,0.23333333333333334,0.27777777777777773,0.2033333333333333,14794759,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.08853136745059585,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2033333333333333,0.07810249675906654,1.0,0.1801148435332531,5.552013262112838,56.81012725830078,551.265625,0,0,0,0,1,0
wadideep_mlp_(no mean)_normal_KL23_173808_8_0.0001_1_window_8,wadi,1,normal_KL,deep_mlp,128,0,0.0001,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03666666666666667,44384277,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09054530281553719,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03666666666666667,0.009999999999999998,1.0,0.6326474712666216,1.5806591275831752,169.6851806640625,545.5546875,0,0,0,0,1,0
wadicLSTM_(no mean)_normal_KL23_174106_8_0.0001_1_window_8,wadi,1,normal_KL,cLSTM,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.28,16727551,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12174717885460991,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.2,0.28,0.02666666666666666,1.0,0.9916293607331681,1.0084412983300968,64.18314361572266,621.69921875,0,0,0,0,1,0
wadiCUTS_PLUS_(no mean)_normal_KL23_174321_8_0.0001_1_window_8,wadi,1,normal_KL,CUTS_PLUS,128,0,0.0001,0.13333333333333333,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.22333333333333333,163584,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11381153567979085,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.22333333333333333,0.03,1.0,0.62535825833329,1.5990833840832428,0.9966239929199219,697.72265625,0,0,0,0,1,0
wadiGVAR_(no mean)_normal_KL23_174530_8_0.0001_2_window_8,wadi,2,normal_KL,GVAR,128,0,0.0001,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.056666666666666664,14794759,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0987765294547997,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.056666666666666664,0.015275252316519466,1.0,0.17701362853337438,5.649282534262376,56.81012725830078,547.1796875,0,0,0,0,1,0
wadicLSTM_(no mean)_normal_KL23_174846_8_0.0001_2_window_8,wadi,2,normal_KL,cLSTM,128,0,0.0001,0.26666666666666666,0.26666666666666666,0.28,0.3,0.28133333333333327,16727551,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0967111607917673,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.28133333333333327,0.013154354299509986,1.0,0.9825859539332669,1.0177226694489425,64.18314361572266,636.6953125,0,0,0,0,1,0
wadiCUTS_PLUS_(no mean)_normal_KL23_175102_8_0.0001_2_window_8,wadi,2,normal_KL,CUTS_PLUS,128,0,0.0001,0.13333333333333333,0.23333333333333334,0.23333333333333334,0.31111111111111106,0.23777777777777778,163584,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.20809576092184787,0.06666666666666667,0.2,0.3333333333333333,0.7333333333333333,0.23777777777777778,0.04251361437713108,1.0,0.6279924567332273,1.592375814833716,0.9966239929199219,720.35546875,0,0,0,0,1,0
wadivlinear_(no mean)_normal_KL23_175228_8_0.0001_3_window_8,wadi,3,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.36666666666666664,0.30333333333333334,35328,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1268055500469617,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.30333333333333334,0.03480102169636849,1.0,0.056473953600107055,17.7072780680633,0.5076103210449219,488.140625,0,0,0,0,1,0
wadiGVAR_(no mean)_normal_KL23_175337_8_0.0001_3_window_8,wadi,3,normal_KL,GVAR,128,0,0.0001,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06,14794759,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1006488923458071,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06,0.013333333333333332,1.0,0.17793884306671923,5.6199084065363065,56.81012725830078,547.1171875,0,0,0,0,1,0
wadicLSTM_(no mean)_normal_KL23_175651_8_0.0001_3_window_8,wadi,3,normal_KL,cLSTM,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.27777777777777773,0.27555555555555555,16727551,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.10577878370368782,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2,0.27555555555555555,0.01975154314959019,1.0,0.9837869420665205,1.0164802532339194,64.18314361572266,620.44921875,0,0,0,0,1,0
wadiCUTS_PLUS_(no mean)_normal_KL23_175908_8_0.0001_3_window_8,wadi,3,normal_KL,CUTS_PLUS,128,0,0.0001,0.13333333333333333,0.16666666666666666,0.26666666666666666,0.27777777777777773,0.23555555555555552,163584,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1632569745069745,0.06666666666666667,0.13333333333333333,0.2,0.4666666666666667,0.23555555555555552,0.05461424767753113,1.0,0.6088358141999682,1.6424789354976355,0.9966239929199219,717.3984375,0,0,0,0,1,0
wadideep_mlp_(no mean)_normal_KL24_122429_8_0.0001_1_window_8,wadi,1,normal_KL,deep_mlp,128,0,0.0001,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03666666666666667,44384277,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09054530281553719,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03666666666666667,0.009999999999999998,1.0,0.668525216533332,1.4958298883407055,169.6851806640625,270.09375,0,0,0,0,1,0
wadicMLP_(no mean)_normal_KL24_122633_8_0.0001_1_window_8,wadi,1,normal_KL,cMLP,128,0,0.0001,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,14484223,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09415182490015692,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.0,1.0,0.31845683013334564,3.1401430441334095,55.625526428222656,528.03515625,0,0,0,0,1,0
