scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,flops,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,avg_power_w,total_energy_j,joules_per_sample
wadivlinear_(no mean)_normal_KL29_145916_8_0.0001_1_window_8,wadi,1,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3,0.36666666666666664,0.31666666666666665,35328,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11816965487564589,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.31666666666666665,0.03415650255319865,1.0,0.009543473466692376,104.78365172702523,0.5076103210449219,1677.265625,0,0,0,0,1,0,3.609671426999112,0.5299942524877126,0.035332950165847504
wadiGVAR_(no mean)_normal_KL29_145928_8_0.0001_1_window_8,wadi,1,normal_KL,GVAR,128,0,0.0001,0.06666666666666667,0.23333333333333334,0.23333333333333334,0.27777777777777773,0.2033333333333333,14794759,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.08853136745059585,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2033333333333333,0.07810249675906654,1.0,0.04365500606654678,22.906880335227097,56.81012725830078,1735.765625,0,0,0,0,1,0,4.642935763965193,2.9526775983466784,0.1968451732231119
wadideep_mlp_(no mean)_normal_KL29_145941_8_0.0001_1_window_8,wadi,1,normal_KL,deep_mlp,128,0,0.0001,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03666666666666667,44384277,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09054530281553719,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03666666666666667,0.009999999999999998,1.0,0.14716153493333575,6.795253939509401,169.6851806640625,1852.015625,0,0,0,0,1,0,4.720215649179389,10.343178617739822,0.6895452411826548
wadicMLP_(no mean)_normal_KL29_145958_8_0.0001_1_window_8,wadi,1,normal_KL,cMLP,128,0,0.0001,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,14484223,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09415182490015692,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.0,1.0,0.041612190800030174,24.031419177268475,55.625526428222656,1780.171875,0,0,0,0,1,0,4.698900033977045,2.892994838715047,0.19286632258100314
wadicLSTM_(no mean)_normal_KL29_150011_8_0.0001_1_window_8,wadi,1,normal_KL,cLSTM,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.28,16727551,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12174717885460991,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.2,0.28,0.02666666666666666,1.0,0.11419734186671728,8.756771249256628,64.18314361572266,1794.421875,0,0,0,0,1,0,4.877134274136009,8.465704943722942,0.5643803295815295
wadiCUTS_PLUS_(no mean)_normal_KL29_150026_8_0.0001_1_window_8,wadi,1,normal_KL,CUTS_PLUS,128,0,0.0001,0.13333333333333333,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.22333333333333333,163584,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11381153567979085,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.22333333333333333,0.03,1.0,0.11209498833338026,8.921005433587386,0.9966239929199219,1675.484375,0,0,0,0,1,0,3.2949318401258347,5.537047905187709,0.3691365270125139
wadiiTransformer_(no mean)_normal_KL29_150040_8_0.0001_1_window_8,wadi,1,normal_KL,iTransformer,128,0,0.0001,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,201351,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.016561482708133176,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,1.0,0.010640724999939266,93.97855879234805,1.1406936645507812,1676.8125,0,0,0,0,1,0,5.217091372328179,0.7566787330410778,0.050445248869405185
wadiTimeMixerpp_(no mean)_normal_KL29_150052_8_0.0001_1_window_8,wadi,1,normal_KL,TimeMixerpp,128,0,0.0001,0.26666666666666666,0.36666666666666664,0.43333333333333335,0.43333333333333335,0.40333333333333343,199929,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.08958074185931285,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.40333333333333343,0.05259911279353168,1.0,0.011522403399976611,86.78744922279235,3.5766754150390625,1678.375,0,0,0,0,1,0,4.825252847877697,0.6480333275957086,0.04320222183971391
wadivlinear_(no mean)_normal_KL29_150104_8_0.0001_2_window_8,wadi,2,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3,0.4,0.31,35328,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11774514060992726,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.31,0.039581140290126396,1.0,0.011183390533430308,89.41832058987102,0.5076103210449219,1677.671875,0,0,0,0,1,0,3.741455495479209,0.5237912456758732,0.03491941637839155
wadiGVAR_(no mean)_normal_KL29_150116_8_0.0001_2_window_8,wadi,2,normal_KL,GVAR,128,0,0.0001,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.056666666666666664,14794759,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0987765294547997,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.056666666666666664,0.015275252316519466,1.0,0.043722483733351206,22.871527749856693,56.81012725830078,1735.921875,0,0,0,0,1,0,4.705748986413869,2.956033693808089,0.19706891292053927
