scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM
aiopsvlinear_(no mean)_normal_KL02_205541_20_0.0001_1_window_20,aiops,1,normal_KL,vlinear,256,0,0.0001,0.5,0.4444444444444451,0.4000000000000014,0.5555555555555554,0.45646825396825436,162086,20,0,200,0,0,0,0,20,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.45646825396825436,0.05387744753124179,0.12253521126760564,0.03823354052401137,26.15504570841357,1.3751907348632812,21.02490234375,23.74445128440857,0.30441604210780215,15084.618958332838,985.81298828125,0,0,tinyMoM
aiopscLSTM_(no mean)_normal_KL02_205708_20_0.0001_1_window_20,aiops,1,normal_KL,cLSTM,256,0,0.0001,0.5,0.4444444444444451,0.4000000000000014,0.5555555555555554,0.45646825396825436,5698580,20,0,200,0,0,0,0,20,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.45646825396825436,0.05387744753124179,0.12253521126760564,0.03798394915701329,26.32690971300339,22.49371337890625,108.1572265625,138.4897780418396,0.692448890209198,6631.536370305534,1323.728515625,0,0,tinyMoM
aiopsCUTS_PLUS_(no mean)_normal_KL02_210152_20_0.0001_1_window_20,aiops,1,normal_KL,CUTS_PLUS,256,0,0.0001,0.5,0.4444444444444451,0.4000000000000014,0.5555555555555554,0.45646825396825436,229028,20,0,200,0,0,0,0,20,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.45646825396825436,0.05387744753124179,0.12253521126760564,0.051229744121946134,19.519910105731203,1.6290283203125,20.751953125,586.3144357204437,2.9315721786022184,1566.3949990784392,2228.12451171875,0,0,tinyMoM
aiopsvlinear_(no mean)_normal_KL02_212042_20_0.0001_1_window_20,aiops,1,normal_KL,vlinear,256,0,0.0001,0.2909698996655518,0.301003344481606,0.391304347826087,0.38743961352656997,0.3532732122949515,177446,20,0,200,0,0,0,0,40,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5632157697375088,0.3511705685618729,0.7591973244147158,0.7658862876254181,0.8394648829431438,0.3532732122949515,0.05463361173511713,0.21056338028169014,0.07048828785236065,14.186754005069936,1.4477462768554688,21.9267578125,35.40409779548645,0.47843375399306015,9597.985011873992,1982.78076171875,0,0,tinyMoM
aiopscLSTM_(no mean)_normal_KL02_212240_20_0.0001_1_window_20,aiops,1,normal_KL,cLSTM,256,0,0.0001,0.2408026755852843,0.18004459308807125,0.19163879598662206,0.204756596060944,0.19672930933800498,12216360,20,0,200,0,0,0,0,40,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5375457865999739,0.3612040133779264,0.6220735785953178,0.802675585284281,0.9665551839464883,0.19672930933800498,0.016046744222248197,0.21056338028169014,0.07172299149044381,13.942530550098953,47.37103271484375,216.38232421875,269.55544900894165,1.3477772450447083,3407.0912065648317,2582.15576171875,0,0,tinyMoM
aiopsCUTS_PLUS_(no mean)_normal_KL02_213120_20_0.0001_1_window_20,aiops,1,normal_KL,CUTS_PLUS,256,0,0.0001,0.13377926421404682,0.15384615384615388,0.19030100334448144,0.2075808249721293,0.17598688750862657,260968,20,0,200,0,0,0,0,40,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.41829951414950167,0.3511705685618729,0.3745819397993311,0.3979933110367893,0.568561872909699,0.17598688750862657,0.021920892979278947,0.21056338028169014,0.07365970946474618,13.575942767987755,1.76483154296875,21.4990234375,1310.6374928951263,6.553187464475632,700.7277031052307,4240.5830078125,0,0,tinyMoM
aiopsvlinear_(no mean)_normal_KL02_220817_20_0.0001_1_window_20,aiops,1,normal_KL,vlinear,256,0,0.0001,0.19063545150501673,0.384615384615384,0.3605351170568558,0.39197324414715745,0.34930588734936563,185126,20,0,200,0,0,0,0,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.41074136008918616,0.34448160535117056,0.4414715719063545,0.451505016722408,0.451505016722408,0.34930588734936563,0.06251520892839792,0.21056338028169014,0.11737539297760928,8.51967328612703,1.4867706298828125,22.423828125,43.88983631134033,0.5774978462018465,7951.544806965407,2496.59814453125,0,0,tinyMoM
aiopscLSTM_(no mean)_normal_KL02_221032_20_0.0001_1_window_20,aiops,1,normal_KL,cLSTM,256,0,0.0001,0.22073578595317725,0.20735785953177277,0.1930880713489408,0.21861761426978787,0.20410986356638525,15782450,20,0,200,0,0,0,0,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3639893482606333,0.3377926421404682,0.34782608695652173,0.34782608695652173,0.36454849498327757,0.20410986356638525,0.01028382365199001,0.21056338028169014,0.11486794318642504,8.705649045853018,60.98431396484375,274.5498046875,336.20954990386963,1.681047749519348,2731.629723970044,3213.94873046875,0,0,tinyMoM
aiopsCUTS_PLUS_(no mean)_normal_KL02_222106_20_0.0001_1_window_20,aiops,1,normal_KL,CUTS_PLUS,256,0,0.0001,0.2608695652173913,0.20847268673355673,0.19888517279821663,0.2099219620958753,0.20761042097998633,277238,20,0,200,0,0,0,0,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.36993058723209415,0.3377926421404682,0.3612040133779264,0.36789297658862874,0.3712374581939799,0.20761042097998633,0.0186809387226275,0.21056338028169014,0.0889691333706961,11.239853217783185,1.8366241455078125,21.69384765625,1836.7268760204315,9.183634380102157,500.0199060569438,5386.24951171875,0,0,tinyMoM
aiopsvlinear_(no mean)_normal_KL03_012454_20_0.0001_2_window_20,aiops,2,normal_KL,vlinear,256,0,0.0001,0.5,0.4444444444444451,0.4000000000000014,0.5555555555555554,0.45646825396825436,162086,20,0,200,0,0,0,0,20,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.45646825396825436,0.05387744753124179,0.12253521126760564,0.0327452023824056,30.538824842851245,1.3751907348632812,21.02490234375,21.666709423065186,0.292793370581962,15683.415204629971,985.81298828125,0,0,tinyMoM
aiopscLSTM_(no mean)_normal_KL03_012608_20_0.0001_2_window_20,aiops,2,normal_KL,cLSTM,256,0,0.0001,0.5,0.4444444444444451,0.4000000000000014,0.5555555555555554,0.45646825396825436,5698580,20,0,200,0,0,0,0,20,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.45646825396825436,0.05387744753124179,0.12253521126760564,0.028219414853501594,35.43659587526548,22.49371337890625,108.1572265625,122.11593246459961,0.6636735460032588,6919.064391904288,1323.728515625,0,0,tinyMoM
aiopsCUTS_PLUS_(no mean)_normal_KL03_013019_20_0.0001_2_window_20,aiops,2,normal_KL,CUTS_PLUS,256,0,0.0001,0.5,0.4444444444444451,0.4000000000000014,0.5555555555555554,0.45646825396825436,229028,20,0,200,0,0,0,0,20,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.45646825396825436,0.05387744753124179,0.12253521126760564,0.038983738285371626,25.651721563481843,1.6290283203125,20.751953125,564.1048274040222,2.820524137020111,1628.06619511913,2228.12451171875,0,0,tinyMoM
aiopsvlinear_(no mean)_normal_KL03_014754_20_0.0001_2_window_20,aiops,2,normal_KL,vlinear,256,0,0.0001,0.10367892976588629,0.28651059085841674,0.34046822742474975,0.3554069119286506,0.300072729203164,177446,20,0,200,0,0,0,0,40,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5786561264822134,0.3779264214046823,0.7625418060200669,0.7692307692307693,0.842809364548495,0.300072729203164,0.07944755124480013,0.21056338028169014,0.06802855526723192,14.699709498044879,1.4477462768554688,21.9267578125,34.19398641586304,0.4499208738929347,10206.239066589149,1982.78076171875,0,0,tinyMoM
aiopscLSTM_(no mean)_normal_KL03_014950_20_0.0001_2_window_20,aiops,2,normal_KL,cLSTM,256,0,0.0001,0.13377926421404682,0.15551839464882947,0.17290969899665545,0.212597547380156,0.17469302436693737,12216360,20,0,200,0,0,0,0,40,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.40047413802688514,0.3511705685618729,0.36454849498327757,0.36789297658862874,0.4983277591973244,0.17469302436693737,0.022929890318445934,0.21056338028169014,0.10250336031451274,9.755777731887848,47.37103271484375,216.38232421875,263.366658449173,1.3168332922458648,3487.1536336754702,2582.15576171875,0,0,tinyMoM
aiopsCUTS_PLUS_(no mean)_normal_KL03_015756_20_0.0001_2_window_20,aiops,2,normal_KL,CUTS_PLUS,256,0,0.0001,0.12709030100334448,0.1538461538461539,0.17023411371237443,0.19628390932738746,0.1701908477995434,260968,20,0,200,0,0,0,0,40,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3903174258158521,0.3511705685618729,0.36454849498327757,0.36454849498327757,0.46153846153846156,0.1701908477995434,0.020015621722163333,0.21056338028169014,0.06372045115084951,15.693548647868733,1.76483154296875,21.4990234375,1273.2429811954498,6.366214905977249,721.3077264621658,4240.5830078125,0,0,tinyMoM
aiopsvlinear_(no mean)_normal_KL03_023226_20_0.0001_2_window_20,aiops,2,normal_KL,vlinear,256,0,0.0001,0.1939799331103679,0.2809364548494985,0.36120401337792735,0.3739130434782611,0.32486476084302185,185126,20,0,200,0,0,0,0,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4226198439241918,0.3511705685618729,0.45484949832775917,0.4682274247491639,0.4682274247491639,0.32486476084302185,0.06542065611302883,0.21056338028169014,0.07771019154169088,12.868324992655669,1.4867706298828125,22.423828125,42.142807960510254,0.5619041061401367,8172.212927119584,2496.59814453125,0,0,tinyMoM
aiopscLSTM_(no mean)_normal_KL03_023427_20_0.0001_2_window_20,aiops,2,normal_KL,cLSTM,256,0,0.0001,0.1939799331103679,0.17948717948717965,0.16700111482720179,0.195540691192865,0.1806999522216913,15782450,20,0,200,0,0,0,0,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.6646202694018482,0.5418060200668896,0.7558528428093646,0.8327759197324415,0.9163879598662207,0.1806999522216913,0.010993900859196349,0.21056338028169014,0.08919393258748645,11.211524943349072,60.98431396484375,274.5498046875,327.27495861053467,1.6363747930526733,2806.203089595128,3213.94873046875,0,0,tinyMoM
aiopsCUTS_PLUS_(no mean)_normal_KL03_024413_20_0.0001_2_window_20,aiops,2,normal_KL,CUTS_PLUS,256,0,0.0001,0.2842809364548495,0.24080267558528384,0.21939799331103688,0.22842809364548494,0.23558661145617665,277238,20,0,200,0,0,0,0,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.38589239030602207,0.34782608695652173,0.3612040133779264,0.3979933110367893,0.41471571906354515,0.23558661145617665,0.019143757995599437,0.21056338028169014,0.08046767783404193,12.427350048082896,1.8366241455078125,21.69384765625,1795.744651556015,8.978723257780075,511.4312879641352,5386.24951171875,0,0,tinyMoM
aiopsvlinear_(no mean)_normal_KL03_032927_20_0.0001_3_window_20,aiops,3,normal_KL,vlinear,256,0,0.0001,0.3333333333333333,0.38888888888888845,0.3666666666666663,0.5555555555555554,0.43369047619047657,162086,20,0,200,0,0,0,0,20,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.43369047619047657,0.06791361476386616,0.12253521126760564,0.04603657914304185,21.721857240801175,1.3751907348632812,21.02490234375,19.975302696228027,0.273634283509973,16781.52291846368,985.81298828125,0,0,tinyMoM
aiopscLSTM_(no mean)_normal_KL03_033046_20_0.0001_3_window_20,aiops,3,normal_KL,cLSTM,256,0,0.0001,0.5,0.4444444444444451,0.4000000000000014,0.5555555555555554,0.45646825396825436,5698580,20,0,200,0,0,0,0,20,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.45646825396825436,0.05387744753124179,0.12253521126760564,0.034627166287652375,28.8790596288726,22.49371337890625,108.1572265625,132.9693911075592,0.664846955537796,6906.85271512678,1323.728515625,0,0,tinyMoM
aiopsCUTS_PLUS_(no mean)_normal_KL03_033522_20_0.0001_3_window_20,aiops,3,normal_KL,CUTS_PLUS,256,0,0.0001,0.5,0.4444444444444451,0.4000000000000014,0.5555555555555554,0.45646825396825436,229028,20,0,200,0,0,0,0,20,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.45646825396825436,0.05387744753124179,0.12253521126760564,0.0753476688231545,13.271810735738356,1.6290283203125,20.751953125,563.8608028888702,2.8193040144443513,1628.7707804739973,2228.12451171875,0,0,tinyMoM
aiopsvlinear_(no mean)_normal_KL03_035232_20_0.0001_3_window_20,aiops,3,normal_KL,vlinear,256,0,0.0001,0.09698996655518395,0.2764771460423633,0.3224080267558532,0.34637681159420297,0.2852246907681691,177446,20,0,200,0,0,0,0,40,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5771481760040111,0.3712374581939799,0.7692307692307693,0.7725752508361204,0.8461538461538461,0.2852246907681691,0.07864415201688064,0.21056338028169014,0.06714787610797181,14.892503798512248,1.4477462768554688,21.9267578125,34.499417304992676,0.4662083419593605,9849.673604511105,1982.78076171875,0,0,tinyMoM
aiopscLSTM_(no mean)_normal_KL03_035431_20_0.0001_3_window_20,aiops,3,normal_KL,cLSTM,256,0,0.0001,0.14381270903010032,0.1527313266443701,0.17123745819397976,0.20579710144927538,0.17599312523225563,12216360,20,0,200,0,0,0,0,40,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.39931915666681056,0.3511705685618729,0.36454849498327757,0.36454849498327757,0.44816053511705684,0.17599312523225563,0.019957210574637774,0.21056338028169014,0.06530219336417208,15.313421318381751,47.37103271484375,216.38232421875,260.493558883667,1.302467794418335,3525.615005360441,2582.15576171875,0,0,tinyMoM
