scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj
gaiavlinear_(no mean)_normal_KL31_052918_10_0.0001_1_window_10,gaia,1,normal_KL,vlinear,256,0,0.0001,0.2920962199312715,0.31500572737686117,0.36861397479954155,0.37800687285223294,0.3540373915889377,169746,10,0,200,0,0,128,2,40,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.048081569397518446,0.0,0.044673539518900345,0.044673539518900345,0.044673539518900345,0.3540373915889377,0.03345142458983751,1.0,0.06438274072207946,15.532112935618775,1.4172286987304688,21.28515625,142.04209852218628,4.898003397316768,19618.60623711312,949.1474609375,0,0
gaiaGVAR_(no mean)_normal_KL31_053513_10_0.0001_1_window_10,gaia,1,normal_KL,GVAR,256,0,0.0001,0.3230240549828179,0.26116838487972477,0.2534936998854529,0.38442153493699843,0.30386679757813767,4387392,10,0,200,0,0,128,2,40,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.07993053172049212,0.013745704467353952,0.013745704467353952,0.013745704467353952,0.5189003436426117,0.30386679757813767,0.05180430513836963,1.0,0.06124781169432545,16.327113938221714,17.505889892578125,89.41455078125,648.763754606247,3.2438187730312347,29623.109897167713,230.849609375,0,0
gaiatorai_(no mean)_normal_KL31_055614_10_0.0001_1_window_10,gaia,1,normal_KL,torai,128,0,0.0001,0.27147766323024053,0.28235967926689565,0.4427262313860251,0.7265750286368838,0.5142028036873397,0,10,0,100,0,0,128,2,40,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4656711940217095,0.27147766323024053,0.48109965635738833,0.6872852233676976,1.0,0.5142028036873397,0.212759595558837,1.0,0,0,0,0,0,0,0,0,0,0
gaiabaro_(no mean)_normal_KL31_055803_10_0.0001_1_window_10,gaia,1,normal_KL,baro,128,0,0.0001,0.18556701030927836,0.2835051546391752,0.3105383734249716,0.3120274914089343,0.29266691212567497,0,10,0,100,0,0,128,2,40,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3212741960851927,0.2611683848797251,0.3230240549828179,0.35051546391752575,0.3745704467353952,0.29266691212567497,0.044869511920436256,1.0,0,0,0,0,0,0,0,0,0,0
gaiarcd_(no mean)_normal_KL31_055842_10_0.0001_1_window_10,gaia,1,normal_KL,rcd,128,0,0.0001,0.1718213058419244,0.33161512027491463,0.35452462772050297,0.3150057273768607,0.3185464735722465,0,10,0,100,0,0,128,2,40,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.29884074688198403,0.24054982817869416,0.24054982817869416,0.3711340206185567,0.3711340206185567,0.3185464735722465,0.05468775878263934,1.0,0,0,0,0,0,0,0,0,0,0
gaiacLSTM_(no mean)_normal_KL31_060008_10_0.0001_1_window_10,gaia,1,normal_KL,cLSTM,256,0,0.0001,0.23367697594501718,0.2571592210767465,0.25967926689576226,0.40962199312714676,0.29974390443462606,12216360,10,0,200,0,0,128,2,40,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.06346457089810317,0.0,0.044673539518900345,0.044673539518900345,0.14432989690721648,0.29974390443462606,0.06614556439486981,1.0,0.060287455922549534,16.58719852575445,47.37103271484375,220.228515625,367.0107626914978,15.292115112145742,6283.76122565799,1350.1533203125,0,0
gaiaCUTS_PLUS_(no mean)_normal_KL31_062847_10_0.0001_1_window_10,gaia,1,normal_KL,CUTS_PLUS,256,0,0.0001,0.27147766323024053,0.2646048109965633,0.29484536082474244,0.33986254295532586,0.30271627665957546,259368,10,0,200,0,0,128,2,40,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5175631992786226,0.5017182130584192,0.5017182130584192,0.5017182130584192,0.5017182130584192,0.30271627665957546,0.027300691183768124,1.0,0.06160711177026283,16.231892248561643,1.75872802734375,21.47216796875,12928.439250707626,64.64219625353813,1486.521275098856,2175.0244140625,0,0
gaiavlinear_(no mean)_normal_KL31_113124_10_0.0001_1_window_10,gaia,1,normal_KL,vlinear,256,0,0.0001,0.24285714285714285,0.2714285714285715,0.2802857142857146,0.2845714285714284,0.2751767573696144,185106,10,0,200,0,0,128,2,60,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0262378886597374,0.0,0.0,0.0,0.037142857142857144,0.2751767573696144,0.019593122323144155,1.0,0.09906490121568952,10.09439254194324,1.4993972778320312,21.9599609375,427.2182626724243,7.628897547721863,12554.369671486882,1436.2177734375,0,0
gaiaGVAR_(no mean)_normal_KL31_114315_10_0.0001_1_window_10,gaia,1,normal_KL,GVAR,256,0,0.0001,0.24,0.22190476190476155,0.21828571428571478,0.37242857142857166,0.27637925170068023,9059472,10,0,200,0,0,128,2,60,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.036477465605625294,0.0,0.0,0.0,0.0,0.27637925170068023,0.05451895376992775,1.0,0.1143212754385812,8.74727819615035,35.35203552246094,157.10546875,152.93610954284668,4.498120868907256,21292.446955358762,473.53125,0,0
gaiatorai_(no mean)_normal_KL31_115313_10_0.0001_1_window_10,gaia,1,normal_KL,torai,128,0,0.0001,0.22,0.216190476190476,0.2424285714285714,0.4915714285714273,0.31725374149659846,0,10,0,100,0,0,128,2,60,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.35690446541762333,0.22,0.3657142857142857,0.38571428571428573,0.8114285714285714,0.31725374149659846,0.11858781735415726,1.0,0,0,0,0,0,0,0,0,0,0
gaiabaro_(no mean)_normal_KL31_115618_10_0.0001_1_window_10,gaia,1,normal_KL,baro,128,0,0.0001,0.2057142857142857,0.21047619047619032,0.24428571428571427,0.2665714285714289,0.23674557823129255,0,10,0,100,0,0,128,2,60,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.256685155054436,0.2057142857142857,0.22857142857142856,0.2571428571428571,0.3028571428571429,0.23674557823129255,0.028829340492756032,1.0,0,0,0,0,0,0,0,0,0,0
gaiarcd_(no mean)_normal_KL31_115722_10_0.0001_1_window_10,gaia,1,normal_KL,rcd,128,0,0.0001,0.30857142857142855,0.23809523809523747,0.292857142857142,0.3125714285714281,0.2866091836734692,0,10,0,100,0,0,128,2,60,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2651432243167537,0.2,0.30857142857142855,0.30857142857142855,0.30857142857142855,0.2866091836734692,0.03062616321724336,1.0,0,0,0,0,0,0,0,0,0,0
