scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer
aiopsvlinear_(no mean)_normal_KL14_115219_10_0.0001_7_window_10,aiops,7,normal_KL,vlinear,128,0,0.0001,0.11483253588516747,0.3596491228070174,0.37846889952153184,0.4447501329080279,0.34328966355282153,48274,10,0,100,0,0,0,0,30,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.48615857826384146,0.2631578947368421,0.6842105263157895,0.8421052631578947,0.8421052631578947,0.34328966355282153,0.1123561522357534,0.14615384615384616,0.056145912152158015,17.810735664779187,0.3828125,18.46875,16.5527663230896,0.165527663230896,27789.91686473227,374.27587890625,0
aiopsvlinear_(no mean)_normal_KL15_110821_10_0.0001_7_window_10,aiops,7,normal_KL,vlinear,128,0,0.0001,0.048109965635738834,0.028064146620847642,0.0452462772050401,0.10882016036655216,0.05904925544100803,202539,10,0,100,0,0,0,0,30,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11581183375518006,0.048109965635738834,0.07560137457044673,0.09278350515463918,0.16838487972508592,0.05904925544100803,0.025534660443057015,0.2034965034965035,0.2308771126868389,4.331308497245447,0.9712867736816406,21.87255859375,59.264201641082764,0.8715323770747465,5278.059795597798,1848.72705078125,0
aiopsvlinear_(no mean)_normal_KL15_120550_10_0.0001_7_window_10,aiops,7,normal_KL,vlinear,128,0,0.0001,0.005847953216374269,0.04678362573099415,0.09064327485380116,0.30409356725146197,0.13625730994152047,48274,10,0,100,0,0,0,0,30,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.10491970490514854,0.005847953216374269,0.04678362573099415,0.09941520467836257,0.3157894736842105,0.13625730994152047,0.09945131783024853,0.11958041958041958,0.23735243674607304,4.213144022068039,0.3828125,18.46875,29.325336456298828,0.2932533645629883,15686.094537585297,374.27587890625,0
aiopsvlinear_(no mean)_normal_KL15_121654_10_0.0001_7_window_10,aiops,7,normal_KL,vlinear,128,0,0.0001,0.23444976076555024,0.3157894736842106,0.3464114832535884,0.3894603934077621,0.3317088174982913,48274,10,0,100,0,0,0,0,30,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3124170143226404,0.14354066985645933,0.430622009569378,0.7081339712918661,0.7081339712918661,0.3317088174982913,0.05407411530494077,0.14615384615384616,0.22227386538491864,4.498954468930788,0.3831939697265625,18.470703125,28.987526416778564,0.28987526416778564,15868.894550924591,374.2763671875,0
aiopsvlinear_(no mean)_normal_KL15_122309_10_0.0001_7_window_10(not orth),aiops,7,normal_KL,vlinear,128,0,0.0001,0.11483253588516747,0.3596491228070174,0.37846889952153184,0.4447501329080279,0.34328966355282153,48274,10,0,100,0,0,0,0,30,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.48615857826384146,0.2631578947368421,0.6842105263157895,0.8421052631578947,0.8421052631578947,0.34328966355282153,0.1123561522357534,0.14615384615384616,0.13321542283564664,7.506638335966109,0.3828125,18.46875,36.52808976173401,0.36528089761734006,12593.048336239184,374.27587890625,0
aiopsvlinear_(no mean)_normal_KL15_150208_10_0.0001_7_window_10(metrics only in multimodality) (no orth),aiops,7,normal_KL,vlinear,128,0,0.0001,0.1111111111111111,0.11111111111111104,0.111111111111111,0.3546913580246913,0.20600595238095237,48274,10,0,100,0,0,0,0,30,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.36002875081383856,0.16111111111111112,0.49444444444444446,0.65,0.6611111111111111,0.20600595238095237,0.10446416589870339,0.1258741258741259,0.1458862966961331,6.854653402319906,0.3828125,18.46875,30.5497784614563,0.305497784614563,15057.39233364221,374.27685546875,0
aiopsvlinear_(no mean)_normal_KL15_151824_10_0.0001_7_window_10,aiops,7,normal_KL,vlinear,128,0,0.0001,0.15555555555555556,0.34444444444444466,0.39444444444444493,0.4336419753086421,0.36530533509700197,48274,10,0,100,0,0,0,0,30,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.32740231990231994,0.16111111111111112,0.4388888888888889,0.5222222222222223,0.5222222222222223,0.36530533509700197,0.08264339795491096,0.1258741258741259,0.10243542194366455,9.762248068348473,0.3831939697265625,18.470703125,29.0619375705719,0.290619375705719,15828.263304295158,374.27734375,0
aiopsvlinear_(no mean)_normal_KL15_163830_10_0.0001_7_window_10,aiops,7,normal_KL,vlinear,128,0,0.0001,0.044293015332197615,0.06388415672913117,0.08296422487223186,0.1815418728536276,0.1018993537221817,62610,10,0,100,0,0,0,0,30,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1652484137466127,0.044293015332197615,0.13969335604770017,0.22146507666098808,0.4599659284497445,0.1018993537221817,0.043046822330909146,0.4104895104895105,0.2579577968311472,3.87660311990715,0.4375,19.080078125,34.368168115615845,0.34368168115615844,13384.478289693598,625.64111328125,0
aiopsvlinear_(no mean)_normal_KL15_164821_10_0.0001_7_window_10,aiops,7,normal_KL,vlinear,256,0,0.0001,0.028960817717206135,0.06189664963089153,0.07191936399772862,0.16427760201184408,0.08881925853816831,190738,10,0,200,0,0,0,0,30,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1464107149269208,0.028960817717206135,0.1260647359454855,0.19080068143100512,0.40545144804088584,0.08881925853816831,0.04071141830187991,0.4104895104895105,0.2676734688740979,3.735895097135522,1.4892578125,22.08349609375,91.66543292999268,0.45832716464996337,10036.498717053226,1195.533203125,0
aiopsvlinear_(no mean)_normal_KL15_172038_10_0.0001_7_window_10,aiops,7,normal_KL,vlinear,128,0,0.0001,0.04201680672268908,0.04201680672268908,0.06544117647058828,0.18976257169534505,0.09426812391623321,81427,10,0,100,0,0,0,0,30,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.20354841075859031,0.06302521008403361,0.18907563025210083,0.3235294117647059,0.5945378151260504,0.09426812391623321,0.052184123802885896,0.3328671328671329,0.27172603777476717,3.6801773145821848,0.5092811584472656,19.37353515625,36.746971130371094,0.3674697113037109,12518.038517188523,707.4091796875,0
