scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
swatrcd_(no mean)_normal_KL17_234401_5_0.0001_1_window_5,swat,1,normal_KL,rcd,256,2,0.0001,0.0,0.0,0.0,0.3,0.1,0,5,0,100,0,0,128,2,51,0,normal,gated,aerca_based
swatepsilon_diagnosis_(no mean)_normal_KL17_234422_5_0.0001_1_window_5,swat,1,normal_KL,epsilon_diagnosis,256,2,0.0001,0.0,0.1,0.1,0.3,0.14,0,5,0,100,0,0,128,2,51,0,normal,gated,aerca_based
swatrcd_(no mean)_normal_KL17_234557_1_0.0001_1_window_1,swat,1,normal_KL,rcd,256,2,0.0001,0.0,0.0,0.0,0.3,0.1,0,1,0,100,0,0,128,2,51,0,normal,gated,aerca_based
swatepsilon_diagnosis_(no mean)_normal_KL17_234621_1_0.0001_1_window_1,swat,1,normal_KL,epsilon_diagnosis,256,2,0.0001,0.0,0.1,0.1,0.3,0.14,0,1,0,100,0,0,128,2,51,0,normal,gated,aerca_based
swatrcd_(no mean)_normal_KL17_234800_7_0.0001_1_window_7,swat,1,normal_KL,rcd,256,2,0.0001,0.0,0.0,0.0,0.3,0.1,0,7,0,100,0,0,128,2,51,0,normal,gated,aerca_based
swatepsilon_diagnosis_(no mean)_normal_KL17_234821_7_0.0001_1_window_7,swat,1,normal_KL,epsilon_diagnosis,256,2,0.0001,0.0,0.1,0.1,0.3,0.14,0,7,0,100,0,0,128,2,51,0,normal,gated,aerca_based
swatrcd_(no mean)_normal_KL18_021002_5_0.0001_1_window_5,swat,1,normal_KL,rcd,256,2,0.0001,0.0,0.0,0.0,0.3,0.1,0,5,0,100,0,0,128,2,51,0,normal,gated,aerca_based
swatepsilon_diagnosis_(no mean)_normal_KL18_021023_5_0.0001_1_window_5,swat,1,normal_KL,epsilon_diagnosis,256,2,0.0001,0.0,0.1,0.1,0.3,0.14,0,5,0,100,0,0,128,2,51,0,normal,gated,aerca_based
swatrcd_(no mean)_normal_KL18_021157_1_0.0001_1_window_1,swat,1,normal_KL,rcd,256,2,0.0001,0.0,0.0,0.0,0.3,0.1,0,1,0,100,0,0,128,2,51,0,normal,gated,aerca_based
swatepsilon_diagnosis_(no mean)_normal_KL18_021220_1_0.0001_1_window_1,swat,1,normal_KL,epsilon_diagnosis,256,2,0.0001,0.0,0.1,0.1,0.3,0.14,0,1,0,100,0,0,128,2,51,0,normal,gated,aerca_based
swatrcd_(no mean)_normal_KL18_021354_7_0.0001_1_window_7,swat,1,normal_KL,rcd,256,2,0.0001,0.0,0.0,0.0,0.3,0.1,0,7,0,100,0,0,128,2,51,0,normal,gated,aerca_based
swatepsilon_diagnosis_(no mean)_normal_KL18_021413_7_0.0001_1_window_7,swat,1,normal_KL,epsilon_diagnosis,256,2,0.0001,0.0,0.1,0.1,0.3,0.14,0,7,0,100,0,0,128,2,51,0,normal,gated,aerca_based
swatrcd_(no mean)_normal_KL18_140412_10_0.0001_1_window_10,swat,1,normal_KL,rcd,256,2,0.0001,0.0,0.0,0.0,0.3,0.1,0,10,0,100,0,0,128,2,51,0,normal,gated,aerca_based
swatepsilon_diagnosis_(no mean)_normal_KL18_140444_10_0.0001_1_window_10,swat,1,normal_KL,epsilon_diagnosis,256,2,0.0001,0.05,0.1,0.1,0.3,0.14250000000000002,0,10,0,100,0,0,128,2,51,0,normal,gated,aerca_based
